,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,7178010.0,8180528.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.248,0.21,0.21,0.21,,
Normalized EBITDA,-7705000.0,26947000.0,68337000.0,-6390000.0,5002000.0,,
Total Unusual Items,34181000.0,32986000.0,,,,,
Total Unusual Items Excluding Goodwill,34181000.0,32986000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,12868000.0,26022000.0,53236000.0,-44546000.0,-31017000.0,,
Reconciled Depreciation,4876000.0,4925000.0,5060000.0,5599000.0,6407000.0,,
Reconciled Cost Of Revenue,241155000.0,241716000.0,257339000.0,195257000.0,185192000.0,,
EBITDA,26476000.0,59933000.0,68337000.0,-6390000.0,5002000.0,,
EBIT,21600000.0,55008000.0,63277000.0,-11989000.0,-1405000.0,,
Net Interest Income,-12225000.0,-20407000.0,-23721000.0,-23031000.0,-23410000.0,,
Interest Expense,12225000.0,20407000.0,23721000.0,23031000.0,23410000.0,,
Normalized Income,-14134990.0,1216528.0,53236000.0,-44546000.0,-31017000.0,,
Net Income From Continuing And Discontinued Operation,12868000.0,26022000.0,53236000.0,-44546000.0,-31017000.0,,
Total Expenses,357625000.0,386101000.0,410129000.0,304240000.0,308600000.0,,
Total Operating Income As Reported,-12523000.0,22059000.0,70940000.0,-11977000.0,-1391000.0,,
Diluted Average Shares,,186639000.0,175101000.0,170431000.0,169204000.0,170956000.0,
Basic Average Shares,,178156000.0,171802000.0,170431000.0,169204000.0,169070000.0,
Diluted EPS,,0.03,0.3,-0.26,-0.18,0.05,
Basic EPS,,0.11,0.31,-0.26,-0.18,0.05,
Diluted NI Availto Com Stockholders,-3893000.0,20235000.0,53236000.0,-44546000.0,-31017000.0,,
Net Income Common Stockholders,-3893000.0,20235000.0,53236000.0,-44546000.0,-31017000.0,,
Preferred Stock Dividends,16761000.0,5787000.0,,,,,
Net Income,12868000.0,26022000.0,53236000.0,-44546000.0,-31017000.0,,
Net Income Including Noncontrolling Interests,12868000.0,26022000.0,53236000.0,-44546000.0,-31017000.0,,
Net Income Continuous Operations,12868000.0,26022000.0,53236000.0,-44546000.0,-31017000.0,,
Tax Provision,-3493000.0,8579000.0,-13680000.0,9526000.0,6202000.0,,
Pretax Income,9375000.0,34601000.0,39556000.0,-35020000.0,-24815000.0,,
Other Income Expense,34123000.0,32949000.0,-7663000.0,-12000.0,-14000.0,,
Other Non Operating Income Expenses,-58000.0,-37000.0,-7663000.0,-12000.0,-14000.0,,
Gain On Sale Of Security,34181000.0,32986000.0,,,,,
Net Non Operating Interest Income Expense,-12225000.0,-20407000.0,-23721000.0,-23031000.0,-23410000.0,,
Interest Expense Non Operating,12225000.0,20407000.0,23721000.0,23031000.0,23410000.0,,
Operating Income,-12523000.0,22059000.0,70940000.0,-11977000.0,-1391000.0,,
Operating Expense,116470000.0,144385000.0,152790000.0,108983000.0,123408000.0,,
Other Operating Expenses,9595000.0,9967000.0,10044000.0,9074000.0,9233000.0,,
Research And Development,,,10044000.0,9074000.0,9233000.0,8604000.0,8050000.0
Selling General And Administration,106875000.0,134418000.0,142746000.0,99909000.0,114175000.0,,
Selling And Marketing Expense,229725000.0,92733000.0,97725000.0,63764000.0,70182000.0,,
General And Administrative Expense,,41685000.0,45021000.0,36145000.0,43993000.0,34971000.0,
Other Gand A,,41685000.0,45021000.0,36145000.0,43993000.0,34971000.0,
Gross Profit,103947000.0,166444000.0,223730000.0,97006000.0,122017000.0,,
Cost Of Revenue,241155000.0,241716000.0,257339000.0,195257000.0,185192000.0,,
Total Revenue,345102000.0,408160000.0,481069000.0,292263000.0,307209000.0,,
Operating Revenue,345102000.0,408160000.0,481069000.0,292263000.0,386167000.0,,
