,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-150360.0,-119722.0,-136442670.0,-1083910.0,-1493894.26733
Tax Rate For Calcs,0.21,0.031,0.21,0.214,0.32568
Normalized EBITDA,55907000.0,27136000.0,59472000.0,44757000.0,59967000.0
Total Unusual Items,-716000.0,-3862000.0,-649727000.0,-5065000.0,-4587000.0
Total Unusual Items Excluding Goodwill,-716000.0,-3862000.0,-649727000.0,-5065000.0,-4587000.0
Net Income From Continuing Operation Net Minority Interest,-36646000.0,-55841000.0,-703763000.0,-33764000.0,-18570000.0
Reconciled Depreciation,71551000.0,71435000.0,74402000.0,71227000.0,65763000.0
Reconciled Cost Of Revenue,201259000.0,196982000.0,219935000.0,190322000.0,211450000.0
EBITDA,55191000.0,23274000.0,-590255000.0,39692000.0,55380000.0
EBIT,-16360000.0,-48161000.0,-664657000.0,-31535000.0,-10383000.0
Net Interest Income,-9294000.0,-9188000.0,-9069000.0,-11066000.0,-16969000.0
Interest Expense,9294000.0,9188000.0,9069000.0,11066000.0,16969000.0
Normalized Income,-36080360.0,-52098722.0,-190478670.0,-29782910.0,-15476894.26733
Net Income From Continuing And Discontinued Operation,-36739000.0,-55966000.0,-703337000.0,-31521000.0,-18638000.0
Total Expenses,580625000.0,601741000.0,575997000.0,531894000.0,564792000.0
Total Operating Income As Reported,-16796000.0,-46769000.0,-664749000.0,-31737000.0,-44219000.0
Diluted Average Shares,57133472.0,56791836.0,58368216.0,55665527.0,54855810.0
Basic Average Shares,57133472.0,56791836.0,58368216.0,55665527.0,54855810.0
Diluted EPS,-0.64,-0.98,-12.05,-0.58,-0.34
Basic EPS,-0.64,-0.98,-12.05,-0.58,-0.34
Diluted NI Availto Com Stockholders,-36739000.0,-55966000.0,-703337000.0,-31521000.0,-18638000.0
Net Income Common Stockholders,-36739000.0,-55966000.0,-703337000.0,-31521000.0,-18638000.0
Net Income,-36739000.0,-55966000.0,-703337000.0,-31521000.0,-18638000.0
Minority Interests,-191000.0,-261000.0,-137000.0,-259000.0,-126000.0
Net Income Including Noncontrolling Interests,-36548000.0,-55705000.0,-703200000.0,-31262000.0,-18512000.0
Net Income Discontinuous Operations,-93000.0,-125000.0,426000.0,2243000.0,-68000.0
Net Income Continuous Operations,-36455000.0,-55580000.0,-703626000.0,-33505000.0,-18444000.0
Tax Provision,10801000.0,-1769000.0,29900000.0,-9096000.0,-8908000.0
Pretax Income,-25654000.0,-57349000.0,-673726000.0,-42601000.0,-27352000.0
Other Income Expense,-280000.0,-5254000.0,-649635000.0,-4863000.0,29249000.0
Other Non Operating Income Expenses,436000.0,-1392000.0,92000.0,202000.0,33836000.0
Special Income Charges,-716000.0,-3862000.0,-649727000.0,-5065000.0,-4587000.0
Restructuring And Mergern Acquisition,716000.0,3862000.0,4727000.0,5065000.0,4587000.0
Net Non Operating Interest Income Expense,-9294000.0,-9188000.0,-9069000.0,-11066000.0,-16969000.0
Interest Expense Non Operating,9294000.0,9188000.0,9069000.0,11066000.0,16969000.0
Operating Income,-16080000.0,-42907000.0,-15022000.0,-26672000.0,-39632000.0
Operating Expense,350777000.0,375136000.0,322540000.0,313131000.0,328515000.0
Other Operating Expenses,10041000.0,35777000.0,,,
Depreciation Amortization Depletion Income Statement,42962000.0,41812000.0,40880000.0,42786000.0,40936000.0
Depreciation And Amortization In Income Statement,42962000.0,41812000.0,40880000.0,42786000.0,40936000.0
Amortization,42962000.0,41812000.0,40880000.0,42786000.0,40936000.0
Amortization Of Intangibles Income Statement,42962000.0,41812000.0,40880000.0,42786000.0,40936000.0
Research And Development,30700000.0,28528000.0,23951000.0,20491000.0,23479000.0
Selling General And Administration,267074000.0,269019000.0,257709000.0,249854000.0,264100000.0
Gross Profit,334697000.0,332229000.0,307518000.0,286459000.0,288883000.0
Cost Of Revenue,229848000.0,226605000.0,253457000.0,218763000.0,236277000.0
Total Revenue,564545000.0,558834000.0,560975000.0,505222000.0,525160000.0
Operating Revenue,564545000.0,558834000.0,560975000.0,505222000.0,525160000.0
