,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-105154.56,332971.8,-7302.12,34302.66
Tax Rate For Calcs,0.21,0.21,0.21,0.21
Normalized EBITDA,-73158957.0,-17305985.0,-3169189.0,-49250037.0
Total Unusual Items,-500736.0,1585580.0,-34772.0,163346.0
Total Unusual Items Excluding Goodwill,-500736.0,1585580.0,-34772.0,163346.0
Net Income From Continuing Operation Net Minority Interest,-75175622.0,-17232525.0,-4829560.0,-50683687.0
Reconciled Depreciation,1498780.0,1501065.0,1584234.0,1569239.0
Reconciled Cost Of Revenue,28033793.0,22870438.0,21740847.0,19539827.0
EBITDA,-73659693.0,-15720405.0,-3203961.0,-49086691.0
EBIT,-75158473.0,-17221470.0,-4788195.0,-50655930.0
Net Interest Income,1794598.0,1048231.0,3791.0,1508.0
Interest Expense,7456.0,6055.0,22377.0,25785.0
Interest Income,1802054.0,1054286.0,26168.0,27293.0
Normalized Income,-74780040.56,-18485133.2,-4802090.12,-50812730.34
Net Income From Continuing And Discontinued Operation,-75175622.0,-17232525.0,-4829560.0,-50683687.0
Total Expenses,122845193.0,56874487.0,43977862.0,91442989.0
Rent Expense Supplemental,1540453.0,1449791.0,1472394.0,1497064.0
Total Operating Income As Reported,-76405449.0,-11572780.0,-4751130.0,-50843344.0
Diluted Average Shares,128333356.0,44895546.0,44895546.0,44895546.0
Basic Average Shares,128333356.0,44895546.0,44895546.0,44895546.0
Diluted EPS,-0.59,-0.49,-0.140014,-1.128925
Basic EPS,-0.59,-0.49,-0.140014,-1.128925
Diluted NI Availto Com Stockholders,-75175622.0,-17232525.0,-6286009.0,-50683687.0
Net Income Common Stockholders,-75175622.0,-17232525.0,-6286009.0,-50683687.0
Preferred Stock Dividends,,,1456449.0,
Net Income,-75175622.0,-17232525.0,-4829560.0,-50683687.0
Net Income Including Noncontrolling Interests,-75175622.0,-17232525.0,-4829560.0,-50683687.0
Net Income Continuous Operations,-75175622.0,-17232525.0,-4829560.0,-50683687.0
Tax Provision,9693.0,5000.0,18988.0,1972.0
Pretax Income,-75165929.0,-17227525.0,-4810572.0,-50681715.0
Other Income Expense,-555078.0,-6702976.0,-63233.0,160121.0
Other Non Operating Income Expenses,-54342.0,-8288556.0,-28461.0,-3225.0
Gain On Sale Of Security,-500736.0,1585580.0,-34772.0,163346.0
Net Non Operating Interest Income Expense,1794598.0,1048231.0,3791.0,1508.0
Interest Expense Non Operating,7456.0,6055.0,22377.0,25785.0
Interest Income Non Operating,1802054.0,1054286.0,26168.0,27293.0
Operating Income,-76405449.0,-11572780.0,-4751130.0,-50843344.0
Operating Expense,94047210.0,33239859.0,21472825.0,71138972.0
Depreciation Amortization Depletion Income Statement,734590.0,736875.0,820044.0,805049.0
Depreciation And Amortization In Income Statement,734590.0,736875.0,820044.0,805049.0
Depreciation Income Statement,734590.0,736875.0,820044.0,805049.0
Selling General And Administration,93312620.0,32502984.0,20652781.0,70333923.0
Selling And Marketing Expense,5941417.0,4418454.0,3852379.0,4492600.0
General And Administrative Expense,87371203.0,28084530.0,16800402.0,65841323.0
Other Gand A,77215989.0,16416380.0,9280235.0,57161882.0
Rent And Landing Fees,1540453.0,1449791.0,1472394.0,1497064.0
Salaries And Wages,8614761.0,10218359.0,6047773.0,7182377.0
Gross Profit,17641761.0,21667079.0,16721695.0,20295628.0
Cost Of Revenue,28797983.0,23634628.0,22505037.0,20304017.0
Total Revenue,46439744.0,45301707.0,39226732.0,40599645.0
Operating Revenue,46439744.0,45301707.0,39226732.0,40599645.0
