,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,64520241.171404,-53760000.0,890476.190476,-1760000.0,-2668269.230769
Tax Rate For Calcs,0.210164,0.21,0.222619,0.22,0.177885
Normalized EBITDA,1894000000.0,1941000000.0,1935000000.0,1964000000.0,1911000000.0
Total Unusual Items,307000000.0,-256000000.0,4000000.0,-8000000.0,-15000000.0
Total Unusual Items Excluding Goodwill,307000000.0,-256000000.0,4000000.0,-8000000.0,-15000000.0
Net Income From Continuing Operation Net Minority Interest,899000000.0,494000000.0,639000000.0,812000000.0,844000000.0
Reconciled Depreciation,914000000.0,912000000.0,971000000.0,794000000.0,768000000.0
Reconciled Cost Of Revenue,3170000000.0,3260000000.0,3254000000.0,2706000000.0,2664000000.0
EBITDA,2201000000.0,1685000000.0,1939000000.0,1956000000.0,1896000000.0
EBIT,1287000000.0,773000000.0,968000000.0,1162000000.0,1128000000.0
Net Interest Income,-116000000.0,-123000000.0,-123000000.0,-88000000.0,-76000000.0
Interest Expense,126000000.0,127000000.0,128000000.0,98000000.0,88000000.0
Interest Income,14000000.0,10000000.0,16000000.0,19000000.0,14000000.0
Normalized Income,656520241.171404,696240000.0,635890476.190476,818240000.0,856331730.769231
Net Income From Continuing And Discontinued Operation,899000000.0,494000000.0,639000000.0,812000000.0,844000000.0
Total Expenses,3303000000.0,3400000000.0,3460000000.0,2827000000.0,2781000000.0
Diluted Average Shares,636000000.0,645000000.0,651000000.0,623000000.0,628000000.0
Basic Average Shares,635000000.0,643000000.0,650000000.0,622000000.0,626000000.0
Diluted EPS,1.41,0.77,0.98,1.3,1.34
Basic EPS,1.42,0.77,0.98,1.31,1.35
Diluted NI Availto Com Stockholders,899000000.0,494000000.0,639000000.0,812000000.0,844000000.0
Net Income Common Stockholders,899000000.0,494000000.0,639000000.0,812000000.0,844000000.0
Net Income,899000000.0,494000000.0,639000000.0,812000000.0,844000000.0
Minority Interests,-18000000.0,-15000000.0,-14000000.0,-13000000.0,-11000000.0
Net Income Including Noncontrolling Interests,917000000.0,509000000.0,653000000.0,825000000.0,855000000.0
Net Income Continuous Operations,917000000.0,509000000.0,653000000.0,825000000.0,855000000.0
Tax Provision,244000000.0,137000000.0,187000000.0,239000000.0,185000000.0
Pretax Income,1161000000.0,646000000.0,840000000.0,1064000000.0,1040000000.0
Other Income Expense,296000000.0,-283000000.0,20000000.0,-45000000.0,-20000000.0
Other Non Operating Income Expenses,-11000000.0,-27000000.0,16000000.0,-37000000.0,-5000000.0
Special Income Charges,307000000.0,-256000000.0,4000000.0,-8000000.0,-15000000.0
Gain On Sale Of Ppe,307000000.0,-2000000.0,5000000.0,0.0,-15000000.0
Write Off,,254000000.0,,,
Impairment Of Capital Assets,0.0,,,,0.0
Restructuring And Mergern Acquisition,,,1000000.0,8000000.0,
Net Non Operating Interest Income Expense,-116000000.0,-123000000.0,-123000000.0,-88000000.0,-76000000.0
Total Other Finance Cost,4000000.0,6000000.0,11000000.0,9000000.0,2000000.0
Interest Expense Non Operating,126000000.0,127000000.0,128000000.0,98000000.0,88000000.0
Interest Income Non Operating,14000000.0,10000000.0,16000000.0,19000000.0,14000000.0
Operating Income,981000000.0,1052000000.0,943000000.0,1197000000.0,1136000000.0
Operating Expense,133000000.0,140000000.0,206000000.0,121000000.0,117000000.0
Other Operating Expenses,20000000.0,10000000.0,51000000.0,4000000.0,3000000.0
Selling General And Administration,113000000.0,130000000.0,155000000.0,117000000.0,114000000.0
General And Administrative Expense,113000000.0,130000000.0,155000000.0,117000000.0,114000000.0
Other Gand A,57000000.0,60000000.0,65000000.0,47000000.0,114000000.0
Salaries And Wages,56000000.0,70000000.0,90000000.0,70000000.0,62000000.0
Gross Profit,1114000000.0,1192000000.0,1149000000.0,1318000000.0,1253000000.0
Cost Of Revenue,3170000000.0,3260000000.0,3254000000.0,2706000000.0,2664000000.0
Total Revenue,4284000000.0,4452000000.0,4403000000.0,4024000000.0,3917000000.0
Operating Revenue,4284000000.0,4452000000.0,4403000000.0,4024000000.0,3917000000.0
