,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.244824,0.216,0.212338,0.208,0.255205
Normalized EBITDA,64929000.0,100960000.0,113484000.0,61560000.0,55864000.0
Net Income From Continuing Operation Net Minority Interest,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Reconciled Depreciation,9914000.0,9556000.0,9532000.0,9231000.0,9033000.0
Reconciled Cost Of Revenue,118348000.0,121035000.0,120903000.0,111995000.0,112180000.0
EBITDA,64929000.0,100960000.0,113484000.0,61560000.0,55864000.0
EBIT,55015000.0,91404000.0,103952000.0,52329000.0,46831000.0
Net Interest Income,3226000.0,3381000.0,3925000.0,4154000.0,4110000.0
Interest Expense,0.0,0.0,0.0,0.0,2000.0
Interest Income,3226000.0,3381000.0,3925000.0,4154000.0,4112000.0
Normalized Income,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Net Income From Continuing And Discontinued Operation,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Total Expenses,195710000.0,201287000.0,190649000.0,190116000.0,184744000.0
Total Operating Income As Reported,51789000.0,88023000.0,100027000.0,48175000.0,42719000.0
Diluted Average Shares,28134000.0,28469000.0,28872000.0,29164000.0,29415000.0
Basic Average Shares,27996000.0,28277000.0,28677000.0,29003000.0,29285000.0
Diluted EPS,1.48,2.52,2.84,1.42,1.19
Basic EPS,1.48,2.53,2.86,1.43,1.19
Diluted NI Availto Com Stockholders,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Net Income Common Stockholders,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Net Income,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Net Income Including Noncontrolling Interests,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Net Income Continuous Operations,41546000.0,71618000.0,81879000.0,41467000.0,34878000.0
Tax Provision,13469000.0,19786000.0,22073000.0,10862000.0,11951000.0
Pretax Income,55015000.0,91404000.0,103952000.0,52329000.0,46829000.0
Net Non Operating Interest Income Expense,3226000.0,3381000.0,3925000.0,4154000.0,4110000.0
Interest Expense Non Operating,0.0,0.0,0.0,0.0,2000.0
Interest Income Non Operating,3226000.0,3381000.0,3925000.0,4154000.0,4112000.0
Operating Income,51789000.0,88023000.0,101924000.0,48175000.0,42719000.0
Operating Expense,69553000.0,72801000.0,62318000.0,70995000.0,65636000.0
Depreciation Amortization Depletion Income Statement,2105000.0,2105000.0,2104000.0,2105000.0,2105000.0
Depreciation And Amortization In Income Statement,2105000.0,2105000.0,2104000.0,2105000.0,2105000.0
Amortization,2105000.0,2105000.0,2104000.0,2105000.0,2105000.0
Amortization Of Intangibles Income Statement,2105000.0,2105000.0,2104000.0,2105000.0,2105000.0
Selling General And Administration,67448000.0,70696000.0,60214000.0,68890000.0,63531000.0
Selling And Marketing Expense,56037000.0,60330000.0,49646000.0,54526000.0,52895000.0
General And Administrative Expense,11411000.0,10366000.0,10568000.0,14364000.0,10636000.0
Other Gand A,11411000.0,10366000.0,10568000.0,14364000.0,10636000.0
Gross Profit,121342000.0,160824000.0,164242000.0,119170000.0,108355000.0
Cost Of Revenue,126157000.0,128486000.0,128331000.0,119121000.0,119108000.0
Total Revenue,247499000.0,289310000.0,292573000.0,238291000.0,227463000.0
Operating Revenue,247499000.0,289310000.0,292573000.0,238291000.0,227463000.0
