,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-3053540.0,-1248984.0,-1915354.0,-3550476.0,-14990593.0
Total Unusual Items,1748688.0,,-148949.0,-949455.0,-10393042.0
Total Unusual Items Excluding Goodwill,1748688.0,,-148949.0,-949455.0,-10393042.0
Net Income From Continuing Operation Net Minority Interest,-1927730.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Reconciled Depreciation,291916.0,419010.0,682507.0,128449.0,129932.0
Reconciled Cost Of Revenue,5240.0,4052.0,315843.0,282059.0,375126.0
EBITDA,-1304852.0,-1248984.0,-1915354.0,-3550476.0,-14990593.0
EBIT,-1596768.0,-1667994.0,-2597861.0,-3678925.0,-15120525.0
Net Interest Income,-330962.0,-528881.0,-775412.0,-223363.0,-159666.0
Interest Expense,330962.0,528881.0,775412.0,223363.0,159666.0
Normalized Income,-3676418.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Net Income From Continuing And Discontinued Operation,-1927730.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Total Expenses,3368379.0,1697808.0,4327258.0,4116658.0,14454864.0
Rent Expense Supplemental,62528.0,49750.0,49651.0,49160.0,63992.0
Total Operating Income As Reported,-3464077.0,-1965802.0,-3159758.0,-3690235.0,-15136010.0
Diluted Average Shares,2146601.0,1116891.0,1057542.0,945584.0,945585.0
Basic Average Shares,2146601.0,1116891.0,1057542.0,945584.0,945585.0
Diluted EPS,-0.898038,-2.0,-3.2,-4.0,-16.16
Basic EPS,-0.898038,-2.0,-3.2,-4.0,-16.16
Diluted NI Availto Com Stockholders,-12081529.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Net Income Common Stockholders,-12081529.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Otherunder Preferred Stock Dividend,10153799.0,,,,0.0
Net Income,-1927730.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Net Income Including Noncontrolling Interests,-1927730.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Net Income Continuous Operations,-1927730.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Pretax Income,-1927730.0,-2196875.0,-3373273.0,-3902288.0,-15280191.0
Other Income Expense,1765061.0,24749.0,1334593.0,11310.0,-1284515.0
Other Non Operating Income Expenses,16373.0,24749.0,1334593.0,11310.0,-1284515.0
Special Income Charges,,,-148949.0,-949455.0,-10393042.0
Other Special Charges,,,148949.0,949455.0,10393042.0
Gain On Sale Of Security,1748688.0,,,,
Net Non Operating Interest Income Expense,-330962.0,-528881.0,-775412.0,-223363.0,-159666.0
Interest Expense Non Operating,330962.0,528881.0,775412.0,223363.0,159666.0
Operating Income,-3361829.0,-1692743.0,-3932454.0,-3690235.0,-13836010.0
Operating Expense,3363139.0,1693756.0,4011415.0,3775520.0,14016421.0
Depreciation Amortization Depletion Income Statement,59160.0,61237.0,74504.0,69370.0,66615.0
Depreciation And Amortization In Income Statement,59160.0,61237.0,74504.0,69370.0,66615.0
Depreciation Income Statement,59160.0,61237.0,74504.0,69370.0,66615.0
Research And Development,1226824.0,1478711.0,1049611.0,1186913.0,2029186.0
Selling General And Administration,2077155.0,153808.0,1587300.0,2519237.0,11920620.0
General And Administrative Expense,2077155.0,153808.0,1587300.0,2519237.0,11920620.0
Other Gand A,1249088.0,-684432.0,829373.0,1851007.0,11141654.0
Rent And Landing Fees,62528.0,49750.0,49651.0,49160.0,63992.0
Salaries And Wages,765539.0,788490.0,708276.0,619070.0,714974.0
Gross Profit,1310.0,1013.0,78961.0,85285.0,180411.0
Cost Of Revenue,5240.0,4052.0,315843.0,341138.0,438443.0
Total Revenue,6550.0,5065.0,394804.0,426423.0,618854.0
Operating Revenue,6550.0,5065.0,394804.0,426423.0,618854.0
