,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-6115000.0,-3974000.0,-2607000.0,-2819000.0,-4904000.0
Net Income From Continuing Operation Net Minority Interest,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Reconciled Depreciation,477000.0,462000.0,451000.0,451000.0,444000.0
Reconciled Cost Of Revenue,5388000.0,5182000.0,5278000.0,5640000.0,5122000.0
EBITDA,-6115000.0,-3974000.0,-2607000.0,-2819000.0,-4904000.0
EBIT,-6592000.0,-4436000.0,-3058000.0,-3270000.0,-5348000.0
Net Interest Income,-1341000.0,-1360000.0,-1511000.0,-1428000.0,-1404000.0
Interest Expense,2059000.0,2153000.0,2192000.0,2182000.0,2166000.0
Interest Income,718000.0,793000.0,681000.0,754000.0,762000.0
Normalized Income,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Net Income From Continuing And Discontinued Operation,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Total Expenses,30344000.0,27671000.0,25119000.0,25303000.0,25486000.0
Total Operating Income As Reported,-6824000.0,-5147000.0,-3653000.0,-4243000.0,-6230000.0
Diluted Average Shares,32863031.0,31480911.0,29914786.0,29444625.0,28853216.0
Basic Average Shares,32863031.0,31480911.0,29914786.0,29444625.0,28853216.0
Diluted EPS,-0.26,-0.21,-0.18,-0.19,-0.26
Basic EPS,-0.26,-0.21,-0.18,-0.19,-0.26
Diluted NI Availto Com Stockholders,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Net Income Common Stockholders,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Net Income,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Net Income Including Noncontrolling Interests,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Net Income Continuous Operations,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Pretax Income,-8651000.0,-6589000.0,-5250000.0,-5452000.0,-7514000.0
Other Income Expense,-486000.0,-82000.0,-86000.0,219000.0,120000.0
Other Non Operating Income Expenses,-486000.0,-82000.0,-86000.0,219000.0,120000.0
Net Non Operating Interest Income Expense,-1341000.0,-1360000.0,-1511000.0,-1428000.0,-1404000.0
Interest Expense Non Operating,2059000.0,2153000.0,2192000.0,2182000.0,2166000.0
Interest Income Non Operating,718000.0,793000.0,681000.0,754000.0,762000.0
Operating Income,-6824000.0,-5147000.0,-3653000.0,-4243000.0,-6230000.0
Operating Expense,24956000.0,22489000.0,19841000.0,19663000.0,20364000.0
Research And Development,6845000.0,7440000.0,6050000.0,5754000.0,6065000.0
Selling General And Administration,18111000.0,15049000.0,13791000.0,13909000.0,14299000.0
Selling And Marketing Expense,12043000.0,,,,9756000.0
General And Administrative Expense,6068000.0,,,,4543000.0
Other Gand A,6068000.0,,,,4543000.0
Gross Profit,18132000.0,17342000.0,16188000.0,15420000.0,14134000.0
Cost Of Revenue,5388000.0,5182000.0,5278000.0,5640000.0,5122000.0
Total Revenue,23520000.0,22524000.0,21466000.0,21060000.0,19256000.0
Operating Revenue,23520000.0,22524000.0,21466000.0,21060000.0,19256000.0
