,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-7341000.0,-5561000.0,-3643000.0
Total Unusual Items,,,85000.0
Total Unusual Items Excluding Goodwill,,,85000.0
Net Income From Continuing Operation Net Minority Interest,-7312000.0,-5506000.0,-4891000.0
Reconciled Depreciation,4000.0,4000.0,6000.0
EBITDA,-7341000.0,-5561000.0,-3558000.0
EBIT,-7345000.0,-5565000.0,-3564000.0
Net Interest Income,30000.0,59000.0,-1404000.0
Interest Income,34000.0,64000.0,101000.0
Normalized Income,-7312000.0,-5506000.0,-4976000.0
Net Income From Continuing And Discontinued Operation,-7312000.0,-5506000.0,-4891000.0
Total Expenses,7345000.0,5565000.0,3564000.0
Total Operating Income As Reported,-7345000.0,-5565000.0,-3564000.0
Diluted Average Shares,,84426.0,
Basic Average Shares,,84426.0,
Diluted EPS,,-65.28,
Basic EPS,,-65.28,
Diluted NI Availto Com Stockholders,-7312000.0,-5506000.0,-4891000.0
Net Income Common Stockholders,-7312000.0,-5506000.0,-4891000.0
Net Income,-7312000.0,-5506000.0,-4891000.0
Net Income Including Noncontrolling Interests,-7312000.0,-5506000.0,-4891000.0
Net Income Continuous Operations,-7312000.0,-5506000.0,-4891000.0
Pretax Income,-7312000.0,-5506000.0,-4883000.0
Other Income Expense,,,85000.0
Gain On Sale Of Security,,,85000.0
Net Non Operating Interest Income Expense,30000.0,59000.0,-1404000.0
Total Other Finance Cost,4000.0,5000.0,1505000.0
Interest Income Non Operating,34000.0,64000.0,101000.0
Operating Income,-7345000.0,-5565000.0,-3564000.0
Operating Expense,7345000.0,5565000.0,3564000.0
Research And Development,6665000.0,4742000.0,2746000.0
Selling General And Administration,680000.0,823000.0,818000.0
General And Administrative Expense,680000.0,823000.0,818000.0
Other Gand A,680000.0,823000.0,-1375000.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
