,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,1608.962881,-2949240.0,1258950.0,2100.0,-3032.520643
Tax Rate For Calcs,0.00029,0.21,0.21,0.21,0.000352
Normalized EBITDA,-15315000.0,-22320000.0,-7428000.0,-5088000.0,-4244000.0
Total Unusual Items,5541000.0,-14044000.0,5995000.0,10000.0,-8610000.0
Total Unusual Items Excluding Goodwill,5541000.0,-14044000.0,5995000.0,10000.0,-8610000.0
Net Income From Continuing Operation Net Minority Interest,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Reconciled Depreciation,5159000.0,6117000.0,6168000.0,6641000.0,7646000.0
Reconciled Cost Of Revenue,15092000.0,14633000.0,15843000.0,14488000.0,25596000.0
EBITDA,-9774000.0,-36364000.0,-1433000.0,-5078000.0,-12854000.0
EBIT,-14933000.0,-42481000.0,-7601000.0,-11719000.0,-20500000.0
Net Interest Income,-5710000.0,-5589000.0,-4421000.0,-4202000.0,-4599000.0
Interest Expense,5730000.0,5704000.0,4828000.0,4773000.0,5053000.0
Interest Income,20000.0,115000.0,407000.0,571000.0,454000.0
Normalized Income,-26196391.037119,-37147240.0,-17209050.0,-16566900.0,-16937032.520643
Net Income From Continuing And Discontinued Operation,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Total Expenses,44146000.0,49840000.0,42041000.0,37222000.0,46635000.0
Total Operating Income As Reported,-25430000.0,-30675000.0,-13719000.0,-12352000.0,-11988000.0
Diluted Average Shares,26787097.0,,24921585.0,24487484.0,21813045.0
Basic Average Shares,26787097.0,,24921585.0,24487484.0,21813045.0
Diluted EPS,-0.77,,-0.5,-0.68,-1.17
Basic EPS,-0.77,,-0.5,-0.68,-1.17
Diluted NI Availto Com Stockholders,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Net Income Common Stockholders,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Net Income,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Net Income Including Noncontrolling Interests,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Net Income Continuous Operations,-20657000.0,-48242000.0,-12473000.0,-16559000.0,-25544000.0
Tax Provision,-6000.0,57000.0,44000.0,67000.0,-9000.0
Pretax Income,-20663000.0,-48185000.0,-12429000.0,-16492000.0,-25553000.0
Other Income Expense,5317000.0,-14415000.0,5465000.0,-467000.0,-9144000.0
Other Non Operating Income Expenses,-224000.0,-371000.0,-530000.0,-477000.0,-534000.0
Special Income Charges,-4122000.0,-3012000.0,269000.0,-1716000.0,-223000.0
Other Special Charges,5160000.0,2494000.0,246000.0,529000.0,178000.0
Restructuring And Mergern Acquisition,-1038000.0,518000.0,-515000.0,1187000.0,45000.0
Gain On Sale Of Security,9663000.0,-11032000.0,5726000.0,1726000.0,-8387000.0
Net Non Operating Interest Income Expense,-5710000.0,-5589000.0,-4421000.0,-4202000.0,-4599000.0
Interest Expense Non Operating,5730000.0,5704000.0,4828000.0,4773000.0,5053000.0
Interest Income Non Operating,20000.0,115000.0,407000.0,571000.0,454000.0
Operating Income,-20270000.0,-28181000.0,-13473000.0,-11823000.0,-11810000.0
Operating Expense,29054000.0,35207000.0,26198000.0,22734000.0,21039000.0
Provision For Doubtful Accounts,0.0,1337000.0,2609000.0,40000.0,40000.0
Research And Development,8509000.0,10003000.0,5631000.0,7517000.0,6037000.0
Selling General And Administration,20545000.0,23867000.0,17958000.0,15177000.0,14962000.0
Selling And Marketing Expense,4735000.0,6279000.0,5655000.0,5168000.0,5118000.0
General And Administrative Expense,15810000.0,17588000.0,12303000.0,10009000.0,9844000.0
Other Gand A,15810000.0,17588000.0,12303000.0,10009000.0,9844000.0
Gross Profit,8784000.0,7026000.0,12725000.0,10911000.0,9229000.0
Cost Of Revenue,15092000.0,14633000.0,15843000.0,14488000.0,25596000.0
Total Revenue,23876000.0,21659000.0,28568000.0,25399000.0,34825000.0
Operating Revenue,23876000.0,21659000.0,28568000.0,25399000.0,34825000.0
