,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-4510000.0,-5245000.0,-5142000.0,-4081000.0
Net Income From Continuing Operation Net Minority Interest,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Reconciled Depreciation,141000.0,137000.0,129000.0,129000.0
Reconciled Cost Of Revenue,1504000.0,1289000.0,1251000.0,1101000.0
EBITDA,-4510000.0,-5245000.0,-5142000.0,-4081000.0
EBIT,-4651000.0,-5382000.0,-5271000.0,-4210000.0
Net Interest Income,37000.0,6000.0,5000.0,9000.0
Interest Income,37000.0,6000.0,5000.0,9000.0
Normalized Income,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Net Income From Continuing And Discontinued Operation,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Total Expenses,7966000.0,8165000.0,8114000.0,6705000.0
Total Operating Income As Reported,-4651000.0,-5382000.0,-5271000.0,-4210000.0
Diluted Average Shares,46344080.0,40823212.0,40823212.0,40823212.0
Basic Average Shares,46344080.0,40823212.0,40823212.0,40823212.0
Diluted EPS,-0.099797,-0.13,-0.128995,-0.102883
Basic EPS,-0.099797,-0.13,-0.128995,-0.102883
Diluted NI Availto Com Stockholders,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Net Income Common Stockholders,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Net Income,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Net Income Including Noncontrolling Interests,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Net Income Continuous Operations,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-4625000.0,-5375000.0,-5266000.0,-4200000.0
Other Income Expense,-11000.0,1000.0,,1000.0
Other Non Operating Income Expenses,-11000.0,1000.0,,1000.0
Net Non Operating Interest Income Expense,37000.0,6000.0,5000.0,9000.0
Interest Income Non Operating,37000.0,6000.0,5000.0,9000.0
Operating Income,-4651000.0,-5382000.0,-5271000.0,-4210000.0
Operating Expense,6462000.0,6876000.0,6863000.0,5604000.0
Research And Development,3392000.0,3107000.0,4222000.0,3260000.0
Selling General And Administration,3070000.0,3769000.0,2641000.0,2344000.0
Selling And Marketing Expense,1847000.0,1961000.0,1784000.0,1639000.0
General And Administrative Expense,1223000.0,1808000.0,857000.0,705000.0
Other Gand A,1223000.0,1808000.0,857000.0,705000.0
Gross Profit,1811000.0,1494000.0,1592000.0,1394000.0
Cost Of Revenue,1504000.0,1289000.0,1251000.0,1101000.0
Total Revenue,3315000.0,2783000.0,2843000.0,2495000.0
Operating Revenue,3315000.0,2783000.0,2843000.0,2495000.0
