,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.242,0.2,0.221,0.161278,0.21
Normalized EBITDA,31158000.0,38812000.0,28198000.0,21298000.0,26213000.0
Net Income From Continuing Operation Net Minority Interest,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Reconciled Depreciation,5099000.0,5196000.0,5412000.0,5353000.0,5273000.0
Reconciled Cost Of Revenue,115842000.0,124576000.0,116315000.0,109299000.0,92702000.0
EBITDA,31158000.0,38812000.0,28198000.0,21298000.0,26213000.0
EBIT,26059000.0,33616000.0,22786000.0,15945000.0,20940000.0
Net Interest Income,1897000.0,1441000.0,493000.0,1105000.0,194000.0
Interest Expense,345000.0,402000.0,752000.0,760000.0,767000.0
Interest Income,2242000.0,1843000.0,1245000.0,1865000.0,961000.0
Normalized Income,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Net Income From Continuing And Discontinued Operation,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Total Expenses,145671000.0,154940000.0,145398000.0,141498000.0,119263000.0
Total Operating Income As Reported,23793000.0,32124000.0,20883000.0,13500000.0,19936000.0
Diluted Average Shares,10931000.0,10909000.0,10903000.0,10903000.0,11030000.0
Basic Average Shares,10862000.0,10863000.0,10853000.0,10859000.0,10996000.0
Diluted EPS,1.78,2.44,1.57,1.17,1.85
Basic EPS,1.8,2.45,1.58,1.18,1.85
Diluted NI Availto Com Stockholders,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Net Income Common Stockholders,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Net Income,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Net Income Including Noncontrolling Interests,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Net Income Continuous Operations,19500000.0,26576000.0,17164000.0,12736000.0,20379000.0
Tax Provision,6214000.0,6638000.0,4870000.0,2449000.0,-206000.0
Pretax Income,25714000.0,33214000.0,22034000.0,15185000.0,20173000.0
Other Income Expense,24000.0,-351000.0,658000.0,580000.0,43000.0
Other Non Operating Income Expenses,24000.0,-351000.0,658000.0,580000.0,43000.0
Net Non Operating Interest Income Expense,1897000.0,1441000.0,493000.0,1105000.0,194000.0
Interest Expense Non Operating,345000.0,402000.0,752000.0,760000.0,767000.0
Interest Income Non Operating,2242000.0,1843000.0,1245000.0,1865000.0,961000.0
Operating Income,23793000.0,32124000.0,20883000.0,13500000.0,19936000.0
Operating Expense,29829000.0,30364000.0,29083000.0,32199000.0,26561000.0
Research And Development,4709000.0,4162000.0,3864000.0,4592000.0,4287000.0
Selling General And Administration,25120000.0,26202000.0,25219000.0,27607000.0,22274000.0
Selling And Marketing Expense,10217000.0,10850000.0,10211000.0,11011000.0,9579000.0
General And Administrative Expense,14903000.0,15352000.0,15008000.0,16596000.0,12695000.0
Other Gand A,14903000.0,15352000.0,15008000.0,16596000.0,12695000.0
Gross Profit,53622000.0,62488000.0,49966000.0,45699000.0,46497000.0
Cost Of Revenue,115842000.0,124576000.0,116315000.0,109299000.0,92702000.0
Total Revenue,169464000.0,187064000.0,166281000.0,154998000.0,139199000.0
Operating Revenue,169464000.0,187064000.0,166281000.0,154998000.0,139199000.0
