,2024-10-31,2024-07-31,2024-06-30,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-06-30
Tax Effect Of Unusual Items,6604.982206,230788.263283,230652.0,43941.0,264260.0,,,
Tax Rate For Calcs,0.227758,0.298176,0.298,0.291,0.292,,,
Normalized EBITDA,1388000.0,-1838000.0,-3221000.0,-1838000.0,2556000.0,,,
Total Unusual Items,29000.0,774000.0,774000.0,151000.0,905000.0,,,
Total Unusual Items Excluding Goodwill,29000.0,774000.0,774000.0,151000.0,905000.0,,,
Net Income From Continuing Operation Net Minority Interest,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Reconciled Depreciation,2051000.0,1383000.0,,1561000.0,1545000.0,2180000.0,,
Reconciled Cost Of Revenue,53886000.0,38039000.0,38039000.0,36588000.0,38804000.0,,,
EBITDA,1417000.0,-1064000.0,-2447000.0,-1687000.0,3461000.0,,,
EBIT,-634000.0,-2447000.0,-2447000.0,-3248000.0,1916000.0,,,
Net Interest Income,-209000.0,-75000.0,-75000.0,25000.0,-171000.0,,,
Interest Expense,209000.0,75000.0,75000.0,,171000.0,264000.0,,
Interest Income,,,,25000.0,,,,
Normalized Income,-673395.017794,-2313211.736717,-2313348.0,-2302059.0,594260.0,,,
Net Income From Continuing And Discontinued Operation,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Total Expenses,72889000.0,52484000.0,52484000.0,50562000.0,53831000.0,,,
Rent Expense Supplemental,,445000.0,445000.0,,,,665000.0,665000.0
Total Operating Income As Reported,-648000.0,-3384000.0,-3384000.0,-3246000.0,1011000.0,,,
Diluted Average Shares,,9076832.0,9076832.0,9076832.0,9076832.0,,9076832.0,
Basic Average Shares,,9076832.0,9076832.0,9076832.0,9076832.0,,9076832.0,
Diluted EPS,,-0.2,-0.2,-0.24,0.14,,0.08,
Basic EPS,,-0.2,-0.2,-0.24,0.14,,0.08,
Diluted NI Availto Com Stockholders,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Net Income Common Stockholders,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Net Income,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Net Income Including Noncontrolling Interests,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Net Income Continuous Operations,-651000.0,-1770000.0,-1770000.0,-2195000.0,1235000.0,,,
Tax Provision,-192000.0,-752000.0,-752000.0,-877000.0,510000.0,,,
Pretax Income,-843000.0,-2522000.0,-2522000.0,-3072000.0,1745000.0,,,
Other Income Expense,29000.0,774000.0,774000.0,151000.0,905000.0,,,
Special Income Charges,29000.0,774000.0,774000.0,151000.0,905000.0,,,
Gain On Sale Of Ppe,15000.0,-163000.0,-163000.0,2000.0,0.0,,,
Other Special Charges,-14000.0,-937000.0,-937000.0,-149000.0,-905000.0,,,
Net Non Operating Interest Income Expense,-209000.0,-75000.0,-75000.0,25000.0,-171000.0,,,
Interest Expense Non Operating,209000.0,75000.0,75000.0,,171000.0,264000.0,,
Interest Income Non Operating,,,,25000.0,,,,
Operating Income,-663000.0,-3221000.0,-3221000.0,-3248000.0,1011000.0,,,
Operating Expense,19003000.0,14445000.0,14445000.0,13974000.0,15027000.0,,,
Other Operating Expenses,497000.0,,,,,467000.0,,
Provision For Doubtful Accounts,,347000.0,347000.0,,-7000.0,,-129000.0,-129000.0
Selling General And Administration,18506000.0,14098000.0,14098000.0,13974000.0,15034000.0,,,
Selling And Marketing Expense,2655000.0,,,,2235000.0,,2134000.0,2134000.0
General And Administrative Expense,15851000.0,14098000.0,14098000.0,,12799000.0,25475000.0,,
Other Gand A,8741000.0,7820000.0,7820000.0,,6407000.0,13896000.0,,
Insurance And Claims,,475000.0,475000.0,,459000.0,,765000.0,765000.0
Rent And Landing Fees,,445000.0,445000.0,,,,665000.0,665000.0
Salaries And Wages,7110000.0,5358000.0,5358000.0,,5933000.0,6872000.0,,
Gross Profit,18340000.0,11224000.0,11224000.0,10726000.0,16038000.0,,,
Cost Of Revenue,53886000.0,38039000.0,38039000.0,36588000.0,38804000.0,,,
Total Revenue,72226000.0,49263000.0,49263000.0,47314000.0,54842000.0,,,
Operating Revenue,72226000.0,49263000.0,49263000.0,47314000.0,54842000.0,,,
