,2023-06-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.165
Normalized EBITDA,-304613.0
Total Unusual Items,0.0
Total Unusual Items Excluding Goodwill,0.0
Net Income From Continuing Operation Net Minority Interest,-45826.0
Reconciled Cost Of Revenue,150330.0
EBITDA,-304613.0
EBIT,-304613.0
Normalized Income,-45826.0
Net Income From Continuing And Discontinued Operation,6817575.0
Total Expenses,879390.0
Total Operating Income As Reported,-304613.0
Diluted Average Shares,699837.0
Basic Average Shares,699837.0
Diluted EPS,9.75
Basic EPS,9.75
Diluted NI Availto Com Stockholders,6817575.0
Net Income Common Stockholders,6817575.0
Net Income,6817575.0
Net Income Including Noncontrolling Interests,6817575.0
Net Income Discontinuous Operations,6863401.0
Net Income Continuous Operations,-45826.0
Tax Provision,35959.0
Pretax Income,-9867.0
Other Income Expense,294746.0
Other Non Operating Income Expenses,294746.0
Special Income Charges,0.0
Write Off,0.0
Operating Income,-304613.0
Operating Expense,729060.0
Selling General And Administration,729060.0
General And Administrative Expense,729060.0
Other Gand A,424402.0
Insurance And Claims,3829.0
Salaries And Wages,300829.0
Gross Profit,424447.0
Cost Of Revenue,150330.0
Total Revenue,574777.0
Operating Revenue,574777.0
