,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.211061,0.209,0.226752,0.188
Net Income From Continuing Operation Net Minority Interest,17622000.0,8461000.0,4944000.0,7756000.0
EBIT,22777000.0,11137000.0,5867000.0,11578000.0
Net Interest Income,-447000.0,-447000.0,-544000.0,-550000.0
Interest Expense,447000.0,447000.0,544000.0,550000.0
Normalized Income,17622000.0,8461000.0,4944000.0,7756000.0
Net Income From Continuing And Discontinued Operation,17622000.0,8461000.0,4944000.0,7756000.0
Total Expenses,79450000.0,72432000.0,70409000.0,65040000.0
Diluted Average Shares,43584999.0,48460507.0,48460507.0,48460507.0
Basic Average Shares,42084982.0,46954976.0,46954976.0,46954976.0
Diluted EPS,0.39,0.17,0.102021,0.160048
Basic EPS,0.4,0.17,0.105292,0.16518
Diluted NI Availto Com Stockholders,17033000.0,8106000.0,4944000.0,7756000.0
Net Income Common Stockholders,17033000.0,8106000.0,4944000.0,7756000.0
Otherunder Preferred Stock Dividend,589000.0,355000.0,,
Net Income,17622000.0,8461000.0,4944000.0,7756000.0
Minority Interests,5000.0,11000.0,828000.0,-1202000.0
Net Income Including Noncontrolling Interests,17617000.0,8450000.0,4116000.0,8958000.0
Net Income Continuous Operations,17617000.0,8450000.0,4116000.0,8958000.0
Tax Provision,4713000.0,2240000.0,1207000.0,2070000.0
Pretax Income,22330000.0,10690000.0,5323000.0,11028000.0
Other Income Expense,28000.0,965000.0,24000.0,24000.0
Net Non Operating Interest Income Expense,-447000.0,-447000.0,-544000.0,-550000.0
Interest Expense Non Operating,447000.0,447000.0,544000.0,550000.0
Other Operating Expenses,161000.0,238000.0,56000.0,54000.0
Total Revenue,101780000.0,83122000.0,75732000.0,76068000.0
Operating Revenue,101780000.0,83122000.0,75732000.0,76068000.0
Loss Adjustment Expense,50412000.0,46862000.0,44128000.0,41047000.0
Net Policyholder Benefits And Claims,50412000.0,46862000.0,44128000.0,41047000.0
Policyholder Benefits Gross,74382000.0,56835000.0,56995000.0,53947000.0
Policyholder Benefits Ceded,23970000.0,9973000.0,12867000.0,12900000.0
