,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,386212.368728,1768732.0,1325880.0,279817.29718,33456.0
Tax Rate For Calcs,0.144975,0.181,0.145,0.1796,0.164
Normalized EBITDA,164060000.0,162646000.0,132927000.0,142778000.0,162200000.0
Total Unusual Items,2664000.0,9772000.0,9144000.0,1558000.0,204000.0
Total Unusual Items Excluding Goodwill,2664000.0,9772000.0,9144000.0,1558000.0,204000.0
Net Income From Continuing Operation Net Minority Interest,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Reconciled Depreciation,28654000.0,27566000.0,27876000.0,29328000.0,28792000.0
Reconciled Cost Of Revenue,666287000.0,643530000.0,583091000.0,646733000.0,617702000.0
EBITDA,166724000.0,172418000.0,142071000.0,144336000.0,162404000.0
EBIT,138070000.0,144852000.0,114195000.0,115008000.0,133612000.0
Net Interest Income,-10396000.0,-10868000.0,-10964000.0,-11513000.0,-9788000.0
Interest Expense,11234000.0,11889000.0,12341000.0,13477000.0,11516000.0
Interest Income,838000.0,1021000.0,1377000.0,1964000.0,1728000.0
Normalized Income,106170212.368728,100945732.0,79272880.0,82017817.29718,101904456.0
Net Income From Continuing And Discontinued Operation,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Total Expenses,796078000.0,764602000.0,682994000.0,759151000.0,730242000.0
Diluted Average Shares,61488000.0,61344000.0,61141000.0,61385000.0,62522000.0
Basic Average Shares,59680000.0,59432000.0,59216000.0,59437000.0,60425000.0
Diluted EPS,1.76,1.78,1.42,1.36,1.63
Basic EPS,1.82,1.83,1.47,1.4,1.69
Diluted NI Availto Com Stockholders,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Net Income Common Stockholders,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Net Income,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Net Income Including Noncontrolling Interests,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Net Income Continuous Operations,108448000.0,108949000.0,87091000.0,83296000.0,102075000.0
Tax Provision,18388000.0,24014000.0,14763000.0,18235000.0,20021000.0
Pretax Income,126836000.0,132963000.0,101854000.0,101531000.0,122096000.0
Other Income Expense,17864000.0,24804000.0,23087000.0,17707000.0,14438000.0
Other Non Operating Income Expenses,3979000.0,3646000.0,3787000.0,4602000.0,3446000.0
Special Income Charges,-579000.0,10806000.0,9243000.0,-108000.0,-307000.0
Gain On Sale Of Ppe,-579000.0,10806000.0,9243000.0,-108000.0,-307000.0
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,0.0
Earnings From Equity Interest,11221000.0,11386000.0,10156000.0,11547000.0,10788000.0
Gain On Sale Of Security,3243000.0,-1034000.0,-99000.0,1666000.0,511000.0
Net Non Operating Interest Income Expense,-10396000.0,-10868000.0,-10964000.0,-11513000.0,-9788000.0
Interest Expense Non Operating,11234000.0,11889000.0,12341000.0,13477000.0,11516000.0
Interest Income Non Operating,838000.0,1021000.0,1377000.0,1964000.0,1728000.0
Operating Income,119368000.0,119027000.0,89731000.0,95337000.0,117446000.0
Operating Expense,129791000.0,121072000.0,99903000.0,112418000.0,112540000.0
Research And Development,41088000.0,37230000.0,30207000.0,34689000.0,38728000.0
Selling General And Administration,88703000.0,83842000.0,69696000.0,77729000.0,73812000.0
Selling And Marketing Expense,,,,,73812000.0
General And Administrative Expense,,,,,-2939000.0
Salaries And Wages,,,,,-2939000.0
Gross Profit,249159000.0,240099000.0,189634000.0,207755000.0,229986000.0
Cost Of Revenue,666287000.0,643530000.0,583091000.0,646733000.0,617702000.0
Total Revenue,915446000.0,883629000.0,772725000.0,854488000.0,847688000.0
Operating Revenue,915446000.0,883629000.0,772725000.0,854488000.0,847688000.0
