,2023-06-30
Tax Effect Of Unusual Items,-3680.0
Tax Rate For Calcs,0.23
Normalized EBITDA,6555000.0
Total Unusual Items,-16000.0
Total Unusual Items Excluding Goodwill,-16000.0
Net Income From Continuing Operation Net Minority Interest,4883000.0
Reconciled Cost Of Revenue,69798000.0
EBITDA,6539000.0
EBIT,6539000.0
Net Interest Income,-5417000.0
Interest Expense,6136000.0
Interest Income,719000.0
Normalized Income,4895320.0
Net Income From Continuing And Discontinued Operation,4883000.0
Total Expenses,95722000.0
Total Operating Income As Reported,5820000.0
Diluted NI Availto Com Stockholders,4883000.0
Net Income Common Stockholders,4883000.0
Net Income,4883000.0
Minority Interests,1158000.0
Net Income Including Noncontrolling Interests,3725000.0
Net Income Continuous Operations,3725000.0
Tax Provision,-3322000.0
Pretax Income,403000.0
Other Income Expense,-897000.0
Other Non Operating Income Expenses,-881000.0
Gain On Sale Of Security,-16000.0
Net Non Operating Interest Income Expense,-5417000.0
Interest Expense Non Operating,6136000.0
Interest Income Non Operating,719000.0
Operating Income,6717000.0
Operating Expense,25924000.0
Research And Development,99000.0
Selling General And Administration,25825000.0
Selling And Marketing Expense,14230000.0
General And Administrative Expense,11595000.0
Other Gand A,10646000.0
Salaries And Wages,949000.0
Gross Profit,32641000.0
Cost Of Revenue,69798000.0
Total Revenue,102439000.0
Operating Revenue,102439000.0
