,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-8400323.0,-22222234.0,-2811349.0,-3591147.0,-3893604.0,,
Total Unusual Items,-401500.0,-78250.0,-524250.0,451500.0,-385500.0,,
Total Unusual Items Excluding Goodwill,-401500.0,-78250.0,-524250.0,451500.0,-385500.0,,
Net Income From Continuing Operation Net Minority Interest,-7594583.0,-21308721.0,-3113362.0,-2491736.0,-4668247.0,,
Reconciled Depreciation,188950.0,109237.0,63894.0,53032.0,42015.0,,
EBITDA,-8801823.0,-22300484.0,-3335599.0,-3139647.0,-4279104.0,,
EBIT,-8990773.0,-22409721.0,-3399493.0,-3192679.0,-4321119.0,,
Net Interest Income,1526690.0,1158251.0,789381.0,249443.0,38372.0,,
Interest Income,1526690.0,1158251.0,789381.0,249443.0,38372.0,,
Normalized Income,-7193083.0,-21230471.0,-2589112.0,-2943236.0,-4282747.0,,
Net Income From Continuing And Discontinued Operation,-7594583.0,-21308721.0,-3113362.0,-2491736.0,-4668247.0,,
Total Expenses,8990773.0,22409721.0,3399493.0,3192679.0,4321119.0,,
Total Operating Income As Reported,-9392273.0,-22487971.0,-3923743.0,-2741179.0,-4706619.0,,
Diluted Average Shares,38985143.0,37074514.0,33964495.0,,27730227.0,28569513.0,
Basic Average Shares,38985143.0,37074514.0,33964495.0,,27730227.0,28569513.0,
Diluted EPS,-0.19,-0.57,-0.09,,-0.17,-0.058721,
Basic EPS,-0.19,-0.57,-0.09,,-0.17,-0.058721,
Diluted NI Availto Com Stockholders,-7594583.0,-21308721.0,-3113362.0,-2491736.0,-4668247.0,,
Net Income Common Stockholders,-7594583.0,-21308721.0,-3113362.0,-2491736.0,-4668247.0,,
Net Income,-7594583.0,-21308721.0,-3113362.0,-2491736.0,-4668247.0,,
Net Income Including Noncontrolling Interests,-7594583.0,-21308720.0,-3113362.0,-2491736.0,-4668247.0,,
Net Income Continuous Operations,-7594583.0,-21308720.0,-3113362.0,-2491736.0,-4668247.0,,
Pretax Income,-7594583.0,-21308720.0,-3113362.0,-2491736.0,-4668247.0,,
Other Income Expense,-130500.0,-57250.0,-503250.0,451500.0,-385500.0,,
Other Non Operating Income Expenses,271000.0,21000.0,21000.0,,,,34967.0
Special Income Charges,-401500.0,-78250.0,-524250.0,451500.0,-385500.0,,
Restructuring And Mergern Acquisition,401500.0,78250.0,524250.0,-451500.0,385500.0,,
Net Non Operating Interest Income Expense,1526690.0,1158251.0,789381.0,249443.0,38372.0,,
Interest Income Non Operating,1526690.0,1158251.0,789381.0,249443.0,38372.0,,
Operating Income,-8990773.0,-22409721.0,-3399493.0,-3192679.0,-4321119.0,,
Operating Expense,8990773.0,22409721.0,3399493.0,3192679.0,4321119.0,,
Research And Development,3666513.0,6712543.0,904923.0,895198.0,2019812.0,,
Selling General And Administration,5324260.0,15697178.0,2494570.0,2297481.0,2301307.0,,
Selling And Marketing Expense,130000.0,,,,227000.0,,
General And Administrative Expense,5194260.0,15697178.0,2494570.0,2297481.0,2074307.0,,
Other Gand A,5191660.0,3097178.0,1694570.0,2297481.0,2073607.0,,
Salaries And Wages,2600.0,12600000.0,800000.0,,700.0,600000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,,
