,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-108150.0,-136710.0
Tax Rate For Calcs,0.21,0.21
Normalized EBITDA,49179000.0,20929000.0
Total Unusual Items,-515000.0,-651000.0
Total Unusual Items Excluding Goodwill,-515000.0,-651000.0
Net Income From Continuing Operation Net Minority Interest,-233000.0,-25793000.0
Reconciled Depreciation,29537000.0,28599000.0
Reconciled Cost Of Revenue,239824000.0,190546000.0
EBITDA,48664000.0,20278000.0
EBIT,19127000.0,-8321000.0
Net Interest Income,-15451000.0,-16007000.0
Interest Expense,15451000.0,16007000.0
Normalized Income,173850.0,-25278710.0
Net Income From Continuing And Discontinued Operation,-233000.0,-25793000.0
Total Expenses,295060000.0,243004000.0
Total Operating Income As Reported,18350000.0,-9440000.0
Diluted Average Shares,122476215.0,121476215.0
Basic Average Shares,121476215.0,121476215.0
Diluted EPS,0.0,-0.21
Basic EPS,0.0,-0.21
Diluted NI Availto Com Stockholders,-233000.0,-25582000.0
Net Income Common Stockholders,-233000.0,-25582000.0
Otherunder Preferred Stock Dividend,,-211000.0
Net Income,-233000.0,-25793000.0
Net Income Including Noncontrolling Interests,-233000.0,-25793000.0
Net Income Continuous Operations,-233000.0,-25793000.0
Tax Provision,3909000.0,1465000.0
Pretax Income,3676000.0,-24328000.0
Other Income Expense,262000.0,468000.0
Other Non Operating Income Expenses,777000.0,1119000.0
Special Income Charges,-515000.0,-651000.0
Restructuring And Mergern Acquisition,515000.0,651000.0
Net Non Operating Interest Income Expense,-15451000.0,-16007000.0
Interest Expense Non Operating,15451000.0,16007000.0
Operating Income,18865000.0,-8789000.0
Operating Expense,55236000.0,52458000.0
Selling General And Administration,55236000.0,52458000.0
Gross Profit,74101000.0,43669000.0
Cost Of Revenue,239824000.0,190546000.0
Total Revenue,313925000.0,234215000.0
Operating Revenue,313925000.0,234215000.0
