,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-4579450.0,-3094879.0,-4726089.0
Total Unusual Items,-248735.0,-167740.0,321712.0
Total Unusual Items Excluding Goodwill,-248735.0,-167740.0,321712.0
Net Income From Continuing Operation Net Minority Interest,-6750125.0,-3844998.0,-4721405.0
Reconciled Depreciation,,486238.0,69732.0
Reconciled Cost Of Revenue,1308.0,10944.0,-218311.0
EBITDA,-4828185.0,-3262619.0,-4404377.0
EBIT,-4828185.0,-3748857.0,-4474109.0
Net Interest Income,-1363775.0,361068.0,148375.0
Interest Expense,2268204.0,96141.0,61337.0
Interest Income,904429.0,457209.0,209712.0
Normalized Income,-6501390.0,-3677258.0,-5043117.0
Net Income From Continuing And Discontinued Operation,-6750125.0,-3844998.0,-4721405.0
Total Expenses,5492140.0,4079715.0,5576387.0
Rent Expense Supplemental,,109331.0,
Total Operating Income As Reported,-5376614.0,-4206066.0,-4839868.0
Diluted Average Shares,119463556.0,119459223.0,
Basic Average Shares,78275354.0,76899960.0,
Diluted EPS,-0.09,-0.05,
Basic EPS,-0.09,-0.05,
Diluted NI Availto Com Stockholders,-6750125.0,-3844998.0,-4721405.0
Net Income Common Stockholders,-6750125.0,-3844998.0,-4721405.0
Net Income,-6750125.0,-3844998.0,-4721405.0
Minority Interests,346264.0,,-185959.0
Net Income Including Noncontrolling Interests,-7096389.0,-3844998.0,-4535446.0
Net Income Continuous Operations,-7096389.0,-3844998.0,-4535446.0
Tax Provision,0.0,,0.0
Pretax Income,-7096389.0,-3844998.0,-4535446.0
Other Income Expense,-248735.0,-167740.0,477759.0
Special Income Charges,,,0.0
Restructuring And Mergern Acquisition,,,0.0
Gain On Sale Of Security,-248735.0,-167740.0,321712.0
Net Non Operating Interest Income Expense,-1363775.0,361068.0,148375.0
Interest Expense Non Operating,2268204.0,96141.0,61337.0
Interest Income Non Operating,904429.0,457209.0,209712.0
Operating Income,-5483879.0,-4038326.0,-5161580.0
Operating Expense,5490832.0,4068771.0,5794698.0
Other Taxes,,,4617911.0
Depreciation Amortization Depletion Income Statement,,486238.0,
Depreciation And Amortization In Income Statement,,486238.0,
Amortization,,39384.0,
Amortization Of Intangibles Income Statement,,39384.0,
Depreciation Income Statement,,446854.0,
Selling General And Administration,5490832.0,3582533.0,134830.0
General And Administrative Expense,5490832.0,3582533.0,134830.0
Other Gand A,5490832.0,1897515.0,-2890686.0
Insurance And Claims,,456579.0,
Rent And Landing Fees,,109331.0,
Salaries And Wages,,1119108.0,2054999.0
Gross Profit,6953.0,30445.0,633118.0
Cost Of Revenue,1308.0,10944.0,-218311.0
Total Revenue,8261.0,41389.0,414807.0
Operating Revenue,8261.0,41389.0,414807.0
