Date,Close,High,Low,Open,Volume,"('Close', 'KALV')","('High', 'KALV')","('Low', 'KALV')","('Open', 'KALV')","('Volume', 'KALV')"
2024-06-03,12.109999656677246,12.154999732971191,11.619999885559082,11.619999885559082,548900.0,,,,,
2024-06-04,11.859999656677246,12.119999885559082,11.609999656677246,12.119999885559082,219500.0,,,,,
2024-06-05,12.06999969482422,12.1899995803833,11.770000457763672,11.84000015258789,172200.0,,,,,
2024-06-06,11.850000381469728,12.079999923706056,11.760000228881836,12.079999923706056,104200.0,,,,,
2024-06-07,11.68000030517578,11.800000190734863,11.350000381469728,11.529999732971191,243200.0,,,,,
2024-06-10,12.039999961853027,12.140000343322754,11.59000015258789,11.609999656677246,203100.0,,,,,
2024-06-11,12.18000030517578,12.239999771118164,11.866000175476074,11.899999618530272,188000.0,,,,,
2024-06-12,12.350000381469728,12.65999984741211,12.170000076293944,12.470000267028809,302100.0,,,,,
2024-06-13,12.260000228881836,12.5600004196167,12.0600004196167,12.350000381469728,168300.0,,,,,
2024-06-14,12.06999969482422,12.210000038146973,11.970000267028809,12.210000038146973,229600.0,,,,,
2024-06-17,11.81999969482422,12.128999710083008,11.6899995803833,11.989999771118164,156400.0,,,,,
2024-06-18,11.369999885559082,11.81999969482422,11.279999732971191,11.770000457763672,227000.0,,,,,
2024-06-20,11.210000038146973,11.350000381469728,11.06999969482422,11.329999923706056,161800.0,,,,,
2024-06-21,11.739999771118164,11.779999732971191,11.31999969482422,11.31999969482422,936300.0,,,,,
2024-06-24,11.720000267028809,11.970000267028809,11.609999656677246,11.770000457763672,167800.0,,,,,
2024-06-25,11.550000190734863,11.81999969482422,11.4399995803833,11.720000267028809,171000.0,,,,,
2024-06-26,11.3100004196167,11.890000343322754,10.845000267028809,11.5600004196167,635700.0,,,,,
2024-06-27,12.050000190734863,12.0600004196167,11.265000343322754,11.289999961853027,251700.0,,,,,
2024-06-28,11.779999732971191,12.199999809265137,11.420000076293944,12.199999809265137,2314200.0,,,,,
2024-07-01,11.890000343322754,11.979999542236328,11.529999732971191,11.65999984741211,306500.0,,,,,
2024-07-02,11.510000228881836,12.0,11.479999542236328,11.90999984741211,249900.0,,,,,
2024-07-03,11.720000267028809,11.760000228881836,11.4399995803833,11.4399995803833,139500.0,,,,,
2024-07-05,11.789999961853027,12.06999969482422,11.449999809265137,11.550000190734863,267600.0,,,,,
2024-07-08,12.199999809265137,12.43000030517578,11.720000267028809,11.90999984741211,305800.0,,,,,
2024-07-09,12.279999732971191,12.329999923706056,12.010000228881836,12.149999618530272,389600.0,,,,,
2024-07-10,12.56999969482422,12.59000015258789,11.920000076293944,12.31999969482422,294000.0,,,,,
2024-07-11,12.5,12.729999542236328,12.015000343322754,12.600000381469728,362700.0,,,,,
2024-07-12,13.039999961853027,13.220000267028809,12.369999885559082,12.630000114440918,598200.0,,,,,
2024-07-15,14.960000038146973,15.390000343322754,13.18000030517578,13.18000030517578,969000.0,,,,,
2024-07-16,15.25,15.399999618530272,14.899999618530272,14.979999542236328,803500.0,,,,,
2024-07-17,14.970000267028809,15.170000076293944,14.75,15.0,355900.0,,,,,
2024-07-18,14.199999809265137,14.9399995803833,14.0,14.9399995803833,275000.0,,,,,
2024-07-19,14.550000190734863,14.645000457763672,14.18000030517578,14.279999732971191,203000.0,,,,,
2024-07-22,15.140000343322754,15.199999809265137,14.420000076293944,14.600000381469728,211200.0,,,,,
2024-07-23,15.390000343322754,15.5,14.920000076293944,15.06999969482422,477100.0,,,,,
2024-07-24,14.470000267028809,15.5,14.40999984741211,15.260000228881836,221100.0,,,,,
2024-07-25,14.390000343322754,14.670000076293944,14.119999885559082,14.579999923706056,228700.0,,,,,
2024-07-26,14.789999961853027,14.93000030517578,14.520000457763672,14.56999969482422,226500.0,,,,,
2024-07-29,14.479999542236328,14.970000267028809,14.15999984741211,14.829999923706056,171500.0,,,,,
2024-07-30,14.270000457763672,14.69499969482422,13.979999542236328,14.550000190734863,148500.0,,,,,
2024-07-31,14.539999961853027,14.80500030517578,14.18000030517578,14.470000267028809,368600.0,,,,,
2024-08-01,13.829999923706056,14.84000015258789,13.789999961853027,14.5600004196167,407800.0,,,,,
2024-08-02,13.170000076293944,13.550000190734863,12.989999771118164,13.369999885559082,160800.0,,,,,
