Date,Close,High,Low,Open,Volume,"('Close', 'TSLA')","('High', 'TSLA')","('Low', 'TSLA')","('Open', 'TSLA')","('Volume', 'TSLA')"
2024-06-03,176.2899932861328,182.63999938964844,174.49000549316406,178.1300048828125,68568900.0,,,,,
2024-06-04,174.77000427246094,177.75999450683594,174.0,174.77999877929688,60056300.0,,,,,
2024-06-05,175.0,176.14999389648438,172.1300048828125,175.35000610351562,57953800.0,,,,,
2024-06-06,177.94000244140625,179.72999572753906,172.72999572753906,174.60000610351562,69887000.0,,,,,
2024-06-07,177.47999572753906,179.35000610351562,175.5800018310547,176.1300048828125,56244900.0,,,,,
2024-06-10,173.7899932861328,178.57000732421875,173.1699981689453,176.05999755859375,50774600.0,,,,,
2024-06-11,170.66000366210938,174.75,167.41000366210938,173.9199981689453,64761900.0,,,,,
2024-06-12,177.2899932861328,180.5500030517578,169.8000030517578,171.1199951171875,90389400.0,,,,,
2024-06-13,182.47000122070312,191.0800018310547,181.22999572753903,188.38999938964844,118984100.0,,,,,
2024-06-14,178.00999450683594,186.0,176.9199981689453,185.8000030517578,82038200.0,,,,,
2024-06-17,187.44000244140625,188.80999755859372,177.0,177.9199981689453,109786100.0,,,,,
2024-06-18,184.8600006103516,187.1999969482422,182.3699951171875,186.55999755859372,68982300.0,,,,,
2024-06-20,181.57000732421875,185.2100067138672,179.66000366210938,184.67999267578125,55893100.0,,,,,
2024-06-21,183.00999450683597,183.9499969482422,180.69000244140625,182.3000030517578,61937300.0,,,,,
2024-06-24,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100.0,,,,,
2024-06-25,187.3500061035156,187.97000122070312,182.00999450683597,184.3999938964844,62905700.0,,,,,
2024-06-26,196.3699951171875,197.75999450683597,186.3600006103516,186.5399932861328,95737100.0,,,,,
2024-06-27,197.4199981689453,198.72000122070312,194.0500030517578,195.1699981689453,72746500.0,,,,,
2024-06-28,197.8800048828125,203.1999969482422,195.25999450683597,199.5500030517578,95438100.0,,,,,
2024-07-01,209.8600006103516,213.22999572753903,200.8500061035156,201.0200042724609,135691400.0,,,,,
2024-07-02,231.25999450683597,231.3000030517578,218.05999755859372,218.88999938964844,205047900.0,,,,,
2024-07-03,246.38999938964844,248.3500061035156,234.25,234.55999755859372,166561500.0,,,,,
2024-07-05,251.5200042724609,252.3699951171875,242.4600067138672,249.80999755859372,154501200.0,,,,,
2024-07-08,252.94000244140625,259.44000244140625,244.57000732421875,247.7100067138672,157219600.0,,,,,
2024-07-09,262.3299865722656,265.6099853515625,250.3000030517578,251.0,160210900.0,,,,,
2024-07-10,263.260009765625,267.5899963378906,257.8599853515625,262.79998779296875,128519400.0,,,,,
2024-07-11,241.02999877929688,271.0,239.6499938964844,263.29998779296875,221707300.0,,,,,
2024-07-12,248.22999572753903,251.83999633789065,233.08999633789065,235.8000030517578,155955800.0,,,,,
2024-07-15,252.63999938964844,265.6000061035156,251.72999572753903,255.97000122070312,146912900.0,,,,,
2024-07-16,256.5599975585937,258.6199951171875,245.8000030517578,255.30999755859372,126332500.0,,,,,
2024-07-17,248.5,258.4700012207031,246.17999267578125,252.72999572753903,115584800.0,,,,,
2024-07-18,249.22999572753903,257.1400146484375,247.1999969482422,251.08999633789065,110869000.0,,,,,
2024-07-19,239.1999969482422,249.44000244140625,236.8300018310547,247.7899932861328,87403900.0,,,,,
2024-07-22,251.50999450683597,253.2100067138672,243.75,244.2100067138672,101225400.0,,,,,
2024-07-23,246.3800048828125,255.75999450683597,245.6300048828125,253.6000061035156,111928200.0,,,,,
2024-07-24,215.9900054931641,225.9900054931641,214.7100067138672,225.4199981689453,167942900.0,,,,,
2024-07-25,220.25,226.0,216.22999572753903,216.8000030517578,100636500.0,,,,,
2024-07-26,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100.0,,,,,
2024-07-29,232.1000061035156,234.2700042724609,224.6999969482422,224.8999938964844,129201800.0,,,,,
2024-07-30,222.6199951171875,232.41000366210935,220.0,232.25,100560300.0,,,,,
2024-07-31,232.07000732421875,234.67999267578125,226.7899932861328,227.8999938964844,67497000.0,,,,,
2024-08-01,216.8600006103516,231.8699951171875,214.3300018310547,227.69000244140625,83861900.0,,,,,
2024-08-02,207.6699981689453,216.1300048828125,205.77999877929688,214.8800048828125,82880100.0,,,,,
2024-08-05,198.8800048828125,203.8800048828125,182.0,185.22000122070312,100308800.0,,,,,
2024-08-06,200.63999938964844,202.8999938964844,192.6699981689453,200.75,73783900.0,,,,,
2024-08-07,191.75999450683597,203.4900054931641,191.47999572753903,200.7700042724609,71159800.0,,,,,
2024-08-08,198.83999633789065,200.6999969482422,192.0399932861328,195.6999969482422,65033900.0,,,,,
2024-08-09,200.0,200.8800048828125,195.1100006103516,197.0500030517578,58648300.0,,,,,
2024-08-12,197.4900054931641,199.25999450683597,194.6699981689453,199.0200042724609,64044900.0,,,,,
2024-08-13,207.8300018310547,208.4900054931641,197.05999755859372,198.47000122070312,76247400.0,,,,,
2024-08-14,201.3800048828125,208.44000244140625,198.75,207.38999938964844,70250000.0,,,,,
2024-08-15,214.13999938964844,215.8800048828125,204.82000732421875,205.0200042724609,89848500.0,,,,,
2024-08-16,216.1199951171875,219.8000030517578,210.8000030517578,211.1499938964844,88765100.0,,,,,
2024-08-19,222.72000122070312,222.97999572753903,214.08999633789065,217.07000732421875,76435200.0,,,,,
2024-08-20,221.1000061035156,228.22000122070312,219.55999755859372,224.8800048828125,74001200.0,,,,,
2024-08-21,223.2700042724609,224.66000366210935,218.8600006103516,222.6699981689453,70146000.0,,,,,
2024-08-22,210.66000366210935,224.8000030517578,210.32000732421875,223.82000732421875,79514500.0,,,,,
2024-08-23,220.32000732421875,221.47999572753903,214.2100067138672,214.4600067138672,81525200.0,,,,,
2024-08-26,213.2100067138672,219.08999633789065,211.00999450683597,218.75,59301200.0,,,,,
2024-08-27,209.2100067138672,215.66000366210935,206.94000244140625,213.25,62821400.0,,,,,
2024-08-28,205.75,211.83999633789065,202.58999633789065,209.72000122070312,64116400.0,,,,,
2024-08-29,206.27999877929688,214.88999938964844,205.97000122070312,209.8000030517578,62308800.0,,,,,
2024-08-30,214.1100006103516,214.57000732421875,207.02999877929688,208.6300048828125,63370600.0,,,,,
2024-09-03,210.6000061035156,219.8999938964844,209.63999938964844,215.25999450683597,76714200.0,,,,,
2024-09-04,219.41000366210935,222.22000122070312,210.57000732421875,210.58999633789065,80651800.0,,,,,
2024-09-05,230.1699981689453,235.0,222.25,223.4900054931641,119355000.0,,,,,
2024-09-06,210.72999572753903,233.6000061035156,210.50999450683597,232.6000061035156,112177000.0,,,,,
2024-09-09,216.2700042724609,219.8699951171875,213.6699981689453,216.1999969482422,67443500.0,,,,,
2024-09-10,226.1699981689453,226.3999938964844,218.63999938964844,220.07000732421875,78891100.0,,,,,
