Date,Close,High,Low,Open,Volume,"('Close', 'TEL')","('High', 'TEL')","('Low', 'TEL')","('Open', 'TEL')","('Volume', 'TEL')"
2024-06-03,146.04766845703125,147.15446597432916,144.88210557517118,146.9193895706673,1600400.0,,,,,
2024-06-04,145.14657592773438,145.55794845701436,143.9516302708387,145.27391085777853,1161500.0,,,,,
2024-06-05,146.90963745117188,146.9781920786814,145.11721865199078,145.9007919168036,1205400.0,,,,,
2024-06-06,146.26316833496094,146.9291958042223,145.93994384708472,146.91940655746785,1089600.0,,,,,
2024-06-07,146.1064453125,147.2230321632373,145.4208244296638,145.8126035211661,1548500.0,,,,,
2024-06-10,146.59617614746094,146.7039176390672,145.46980005418916,145.46980005418916,1440600.0,,,,,
2024-06-11,146.4884490966797,146.50804253674352,145.09761376046333,146.0672872805099,1196400.0,,,,,
2024-06-12,147.6246337890625,148.8685557245331,146.46885991832025,147.5266815313091,1229300.0,,,,,
2024-06-13,147.4678955078125,147.51687162983205,145.30329140144096,147.12509254450387,1575300.0,,,,,
2024-06-14,144.3238525390625,146.99778185357383,141.97313280326048,146.13584978923814,2534300.0,,,,,
2024-06-17,147.095703125,147.15448344195272,143.65779438130633,144.64704634149356,1584300.0,,,,,
2024-06-18,148.07518005371094,149.64232652376805,147.45812864791216,148.00662542880724,1823400.0,,,,,
2024-06-20,147.4091339111328,148.87832793682517,146.64515421340596,147.86948256814958,1947800.0,,,,,
2024-06-21,148.87835693359375,149.20158147564968,146.47867587999758,147.59526295918286,3158500.0,,,,,
2024-06-24,147.996826171875,150.38670270622808,147.98702197939727,149.22115459836166,1674500.0,,,,,
2024-06-25,146.4198760986328,147.69316558008197,145.08780630436922,147.69316558008197,1588600.0,,,,,
2024-06-26,144.8037872314453,146.01832657158147,144.13775965310498,145.66571934027854,1879600.0,,,,,
2024-06-27,145.65591430664062,145.82242118318075,144.78419304392142,145.05844142238934,924000.0,,,,,
2024-06-28,147.340576171875,147.92825980747267,145.6559139703541,146.38070684945345,1854200.0,,,,,
2024-07-01,145.42083740234375,147.4972936742879,144.74500570561062,147.3209975510092,1367900.0,,,,,
2024-07-02,146.8606414794922,147.477707770799,144.50013275585374,144.98986411202364,1241300.0,,,,,
2024-07-03,145.72445678710938,147.14467468843495,145.44041918501003,147.0565266338608,767000.0,,,,,
2024-07-05,146.36111450195312,146.69414320216595,144.62747616028963,145.31309710999406,1508500.0,,,,,
2024-07-08,147.5658721923828,147.74216832635523,146.53743324129394,146.96839927378196,2174100.0,,,,,
2024-07-09,146.68434143066406,148.2710813066469,146.66476293564634,147.91847410591916,1435500.0,,,,,
2024-07-10,150.35731506347656,150.641367618491,147.0663197637431,147.340568126603,1507700.0,,,,,
