Date,Close,High,Low,Open,Volume,"('Close', 'MFG')","('High', 'MFG')","('Low', 'MFG')","('Open', 'MFG')","('Volume', 'MFG')"
2024-06-03,4.053579330444336,4.053579330444336,4.005551411757008,4.015156812281455,881900.0,,,,,
2024-06-04,3.967128753662109,3.967128753662109,3.9383116370401376,3.947917495258305,533700.0,,,,,
2024-06-05,3.87107253074646,3.8902837894932087,3.842255413610068,3.8902837894932087,979100.0,,,,,
2024-06-06,3.880677938461304,3.89028379686916,3.851861279302813,3.8710725380859863,666900.0,,,,,
2024-06-07,3.832649946212769,3.861466835550756,3.832649946212769,3.851861434787706,964800.0,,,,,
2024-06-10,3.880677938461304,3.89028379686916,3.813438532720197,3.842255420894957,557300.0,,,,,
2024-06-11,3.832649946212769,3.861466835550756,3.82304431643344,3.861466835550756,499400.0,,,,,
2024-06-12,3.8518612384796143,3.880677897332697,3.842255380173564,3.8710724970591808,412100.0,,,,,
2024-06-13,3.7654104232788086,3.7654104232788086,3.7461991643042247,3.7461991643042247,409200.0,,,,,
2024-06-14,3.736593723297119,3.755804983240752,3.726988093325303,3.736593723297119,578600.0,,,,,
2024-06-17,3.7173821926116943,3.7365936813559726,3.698170932883697,3.7173821926116943,1005600.0,,,,,
2024-06-18,3.7173821926116943,3.7365936813559726,3.698170932883697,3.7173821926116943,797000.0,,,,,
2024-06-20,3.746199131011963,3.75580476041389,3.726987872208108,3.7365935016100353,518500.0,,,,,
2024-06-21,3.707776546478272,3.746199294781951,3.6981709166564216,3.746199294781951,796000.0,,,,,
2024-06-24,3.794227361679077,3.8038329912927953,3.755804843224204,3.755804843224204,726200.0,,,,,
2024-06-25,3.928706407546997,3.9479176667854823,3.8998892896729935,3.919100548911479,559400.0,,,,,
2024-06-26,3.909495115280152,3.928706374356336,3.890283856203967,3.9191005158019703,1043900.0,,,,,
2024-06-27,3.9575231075286874,3.9575231075286874,3.928706447394952,3.938311848095345,669400.0,,,,,
2024-06-28,4.063185214996338,4.063185214996338,4.024762696587641,4.024762696587641,545100.0,,,,,
2024-07-01,4.101607799530029,4.101607799530029,4.063185280501895,4.063185280501895,542500.0,,,,,
2024-07-02,4.16884708404541,4.188058341933671,4.130424568268888,4.140029968196759,931700.0,,,,,
2024-07-03,4.1496357917785645,4.159241191626858,4.130424534049463,4.130424534049463,242200.0,,,,,
2024-07-05,4.226480960845947,4.226480960845947,4.178452585937033,4.178452585937033,475300.0,,,,,
2024-07-08,4.159241199493408,4.168847057392384,4.140029941727972,4.149635799626948,488600.0,,,,,
2024-07-09,4.120819091796875,4.130424950646535,4.111213690979775,4.120819091796875,985000.0,,,,,
2024-07-10,4.16884708404541,4.188058341933671,4.149635826157149,4.149635826157149,641100.0,,,,,
2024-07-11,4.1400299072265625,4.197663680042575,4.130424507440149,4.178452422437237,1010700.0,,,,,
