Date,Close,High,Low,Open,Volume,"('Close', 'SCWO')","('High', 'SCWO')","('Low', 'SCWO')","('Open', 'SCWO')","('Volume', 'SCWO')"
2024-06-03,1.1699999570846558,1.2999999523162842,1.149999976158142,1.2999999523162842,71400.0,,,,,
2024-06-04,1.2000000476837158,1.2200000286102295,1.149999976158142,1.2000000476837158,87900.0,,,,,
2024-06-05,1.2000000476837158,1.2000000476837158,1.1799999475479126,1.2000000476837158,43200.0,,,,,
2024-06-06,1.2000000476837158,1.2200000286102295,1.1799999475479126,1.1799999475479126,76500.0,,,,,
2024-06-07,1.2000000476837158,1.2100000381469729,1.1799999475479126,1.190000057220459,46600.0,,,,,
2024-06-10,1.1699999570846558,1.2100000381469729,1.159999966621399,1.2000000476837158,75400.0,,,,,
2024-06-11,1.190000057220459,1.2000000476837158,1.149999976158142,1.159999966621399,141300.0,,,,,
2024-06-12,1.1799999475479126,1.2000000476837158,1.149999976158142,1.2000000476837158,68800.0,,,,,
2024-06-13,1.159999966621399,1.2100000381469729,1.149999976158142,1.190000057220459,66800.0,,,,,
2024-06-14,1.1699999570846558,1.1699999570846558,1.1399999856948853,1.1399999856948853,189100.0,,,,,
2024-06-17,1.1699999570846558,1.1699999570846558,1.1200000047683716,1.1699999570846558,69100.0,,,,,
2024-06-18,1.1699999570846558,1.2100000381469729,1.149999976158142,1.190000057220459,82700.0,,,,,
2024-06-20,1.100000023841858,1.190000057220459,0.8299999833106995,1.1799999475479126,1114000.0,,,,,
2024-06-21,1.1399999856948853,1.149999976158142,1.0199999809265137,1.0299999713897705,196800.0,,,,,
2024-06-24,1.1299999952316284,1.1399999856948853,1.100000023841858,1.1200000047683716,63300.0,,,,,
2024-06-25,1.0800000429153442,1.1299999952316284,1.0199999809265137,1.1100000143051147,76300.0,,,,,
2024-06-26,1.100000023841858,1.1200000047683716,1.0299999713897705,1.059999942779541,150800.0,,,,,
2024-06-27,1.1399999856948853,1.1399999856948853,1.0700000524520874,1.1299999952316284,60400.0,,,,,
