Date,Close,High,Low,Open,Volume,"('Close', 'DAWN')","('High', 'DAWN')","('Low', 'DAWN')","('Open', 'DAWN')","('Volume', 'DAWN')"
2024-06-03,13.18000030517578,13.890000343322754,13.020000457763672,13.59000015258789,982000.0,,,,,
2024-06-04,12.770000457763672,13.520000457763672,12.43000030517578,13.1899995803833,1823400.0,,,,,
2024-06-05,13.0600004196167,13.234999656677246,12.520000457763672,12.880000114440918,858800.0,,,,,
2024-06-06,12.880000114440918,13.149999618530272,12.585000038146973,13.010000228881836,806600.0,,,,,
2024-06-07,12.770000457763672,13.095000267028809,12.649999618530272,12.710000038146973,407400.0,,,,,
2024-06-10,12.489999771118164,12.949999809265137,12.449999809265137,12.609999656677246,900300.0,,,,,
2024-06-11,12.539999961853027,12.710000038146973,12.3100004196167,12.3100004196167,668700.0,,,,,
2024-06-12,13.0,13.234999656677246,12.6899995803833,12.970000267028809,1271500.0,,,,,
2024-06-13,12.920000076293944,13.06999969482422,12.68000030517578,12.970000267028809,666500.0,,,,,
2024-06-14,12.609999656677246,12.920000076293944,12.399999618530272,12.739999771118164,435600.0,,,,,
2024-06-17,12.029999732971191,12.470000267028809,11.9399995803833,12.460000038146973,974700.0,,,,,
2024-06-18,13.390000343322754,13.609999656677246,12.0600004196167,12.079999923706056,1285100.0,,,,,
2024-06-20,13.119999885559082,13.600000381469728,12.93000030517578,13.329999923706056,856500.0,,,,,
2024-06-21,13.68000030517578,13.979999542236328,12.90999984741211,13.149999618530272,1764200.0,,,,,
2024-06-24,13.529999732971191,14.0,13.399999618530272,13.640000343322754,893900.0,,,,,
2024-06-25,13.399999618530272,14.029999732971191,13.390000343322754,13.529999732971191,657900.0,,,,,
2024-06-26,13.4399995803833,13.649999618530272,13.0,13.3100004196167,722400.0,,,,,
2024-06-27,13.829999923706056,13.93000030517578,13.079999923706056,13.460000038146973,1078400.0,,,,,
2024-06-28,13.779999732971191,14.09000015258789,13.640000343322754,14.0,2990600.0,,,,,
2024-07-01,13.579999923706056,13.859999656677246,13.31999969482422,13.710000038146973,735800.0,,,,,
2024-07-02,13.460000038146973,13.75,13.329999923706056,13.489999771118164,721000.0,,,,,
2024-07-03,13.5,13.68000030517578,13.25,13.579999923706056,577500.0,,,,,
