Date,Close,High,Low,Open,Volume,"('Close', 'HAFN')","('High', 'HAFN')","('Low', 'HAFN')","('Open', 'HAFN')","('Volume', 'HAFN')"
2024-06-03,7.554054260253906,7.681253389398435,7.5021368209548305,7.528095540604368,226700.0,,,,,
2024-06-04,7.259854316711426,7.45887256477085,7.246874542841629,7.320424944344658,365300.0,,,,,
2024-06-05,7.294466018676758,7.32907792281941,7.192360777674001,7.268506471660103,264400.0,,,,,
2024-06-06,7.294466018676758,7.355036644623178,7.130058855089493,7.199282663374798,357700.0,,,,,
2024-06-07,7.199283599853516,7.233895508498465,7.11361906406629,7.164671691208566,221000.0,,,,,
2024-06-10,7.181977272033691,7.2338947167119905,7.069488374946836,7.138712184659839,220200.0,,,,,
2024-06-11,6.905081748962402,6.931040884390666,6.723369038783934,6.82720475528407,786400.0,,,,,
2024-06-12,6.931041240692139,6.965653147971466,6.861817013527004,6.896428920806331,405900.0,,,,,
2024-06-13,6.610879898071289,6.714716023384141,6.558962041718085,6.671450936786583,1178500.0,,,,,
2024-06-14,6.481085300445557,6.5381953985002506,6.4032087192202605,6.4032087192202605,495100.0,,,,,
2024-06-17,6.602227210998535,6.632512524432237,6.498391496991743,6.524350219190216,282700.0,,,,,
2024-06-18,6.792592525482178,6.809898477405954,6.645491727826856,6.662797679750633,261100.0,,,,,
2024-06-20,6.861816883087158,6.870470066045738,6.7666343461816245,6.792593069844417,288000.0,,,,,
2024-06-21,6.887775421142578,6.93104050696489,6.792592479897355,6.818551613912029,710500.0,,,,,
2024-06-24,6.956999778747559,6.965652961639157,6.913734689502507,6.922387872394106,174700.0,,,,,
2024-06-25,6.905081748962402,6.918926346119836,6.835857937962311,6.879122613534138,147300.0,,,,,
2024-06-26,7.138711929321289,7.168997241835864,6.9656524112288025,6.9656524112288025,300800.0,,,,,
2024-06-27,7.164671421051025,7.207936511529069,7.125732922142083,7.1473658799875865,297500.0,,,,,
2024-06-28,7.259854316711426,7.303118579184928,7.225242411604878,7.26850667407838,219900.0,,,,,
2024-07-01,7.112753391265869,7.164670835425524,7.02708886571083,7.164670835425524,307300.0,,,,,
2024-07-02,7.181977272033691,7.242547899229343,7.121405819625136,7.138712184659839,230600.0,,,,,
2024-07-03,7.138711929321289,7.216588918766127,7.130058747113446,7.164670650731943,164400.0,,,,,
2024-07-05,7.0002641677856445,7.078141155594442,6.974305446920332,7.078141155594442,193100.0,,,,,
2024-07-08,6.827204704284668,6.931040832615605,6.818551934277523,6.9137344673884025,218900.0,,,,,
2024-07-09,6.861816883087158,6.939694291894954,6.827204976465787,6.827204976465787,248600.0,,,,,
