Date,Close,High,Low,Open,Volume,"('Close', 'ATLX')","('High', 'ATLX')","('Low', 'ATLX')","('Open', 'ATLX')","('Volume', 'ATLX')"
2024-06-03,14.020000457763672,14.739999771118164,13.869999885559082,14.390000343322754,30200.0,,,,,
2024-06-04,13.5,14.010000228881836,13.5,14.0,71300.0,,,,,
2024-06-05,13.789999961853027,14.199999809265137,13.579999923706056,13.9399995803833,40700.0,,,,,
2024-06-06,13.84000015258789,14.239999771118164,13.550000190734863,13.550000190734863,19000.0,,,,,
2024-06-07,13.579999923706056,13.972000122070312,13.5,13.760000228881836,29000.0,,,,,
2024-06-10,12.260000228881836,13.979999542236328,12.140000343322754,13.399999618530272,204500.0,,,,,
2024-06-11,12.1899995803833,12.850000381469728,11.670000076293944,12.850000381469728,121700.0,,,,,
2024-06-12,9.8100004196167,12.265000343322754,9.670000076293944,12.199999809265137,574300.0,,,,,
2024-06-13,10.050000190734863,11.0,9.949999809265137,10.510000228881836,254800.0,,,,,
2024-06-14,10.15999984741211,10.399999618530272,9.600000381469728,10.399999618530272,165100.0,,,,,
2024-06-17,10.130000114440918,11.100000381469728,9.68000030517578,10.699999809265137,133300.0,,,,,
2024-06-18,10.0,10.40999984741211,9.600000381469728,10.229999542236328,72400.0,,,,,
2024-06-20,9.75,10.399999618530272,9.59000015258789,9.979999542236328,105900.0,,,,,
2024-06-21,9.449999809265137,10.0,9.300000190734863,9.8100004196167,104700.0,,,,,
2024-06-24,9.619999885559082,10.329999923706056,9.43000030517578,9.600000381469728,59200.0,,,,,
2024-06-25,10.039999961853027,10.039999961853027,9.510000228881836,9.539999961853027,43500.0,,,,,
2024-06-26,9.779999732971191,10.18000030517578,9.770000457763672,9.829999923706056,59200.0,,,,,
2024-06-27,10.380000114440918,10.520000457763672,9.821999549865724,9.899999618530272,131000.0,,,,,
2024-06-28,10.380000114440918,10.48799991607666,10.0,10.390000343322754,48900.0,,,,,
2024-07-01,11.630000114440918,11.989999771118164,10.25,10.25,197900.0,,,,,
2024-07-02,10.93000030517578,11.699999809265137,10.75,11.6899995803833,72600.0,,,,,
2024-07-03,11.100000381469728,11.15999984741211,10.75,10.84000015258789,32000.0,,,,,
2024-07-05,11.369999885559082,11.529999732971191,10.855999946594238,11.079999923706056,44500.0,,,,,
2024-07-08,10.979999542236328,11.5,10.720000267028809,11.5,40300.0,,,,,
2024-07-09,11.489999771118164,11.56999969482422,11.0,11.460000038146973,74200.0,,,,,
2024-07-10,11.859999656677246,11.9399995803833,11.460000038146973,11.460000038146973,54400.0,,,,,
2024-07-11,12.09000015258789,12.579999923706056,11.859999656677246,12.220000267028809,51400.0,,,,,
2024-07-12,12.670000076293944,12.8100004196167,12.100000381469728,12.100000381469728,56000.0,,,,,
2024-07-15,11.93000030517578,12.949999809265137,11.8100004196167,12.880000114440918,59300.0,,,,,
2024-07-16,12.4399995803833,12.899999618530272,11.93000030517578,12.09000015258789,102700.0,,,,,
2024-07-17,12.84000015258789,12.890000343322754,12.300000190734863,12.4399995803833,34800.0,,,,,
2024-07-18,12.59000015258789,13.699999809265137,12.5,12.970000267028809,108600.0,,,,,
2024-07-19,12.890000343322754,13.119999885559082,12.0600004196167,12.84000015258789,84100.0,,,,,
2024-07-22,12.3100004196167,13.262999534606934,12.15999984741211,12.869999885559082,85100.0,,,,,
2024-07-23,11.859999656677246,12.300000190734863,11.56999969482422,12.260000228881836,84900.0,,,,,
2024-07-24,11.359999656677246,11.949999809265137,11.239999771118164,11.869999885559082,50700.0,,,,,
2024-07-25,11.220000267028809,11.75,10.979999542236328,11.369999885559082,40400.0,,,,,
2024-07-26,11.390000343322754,11.529999732971191,11.0,11.0,18300.0,,,,,
2024-07-29,11.220000267028809,11.42300033569336,10.859999656677246,11.390000343322754,47700.0,,,,,
2024-07-30,11.34000015258789,11.550000190734863,11.130000114440918,11.239999771118164,35800.0,,,,,
2024-07-31,11.199999809265137,11.631999969482422,11.0,11.510000228881836,23100.0,,,,,
