Date,Close,High,Low,Open,Volume,"('Close', 'SSRM')","('High', 'SSRM')","('Low', 'SSRM')","('Open', 'SSRM')","('Volume', 'SSRM')"
2024-06-03,5.159999847412109,5.389999866485596,5.150000095367432,5.380000114440918,2109300.0,,,,,
2024-06-04,4.710000038146973,5.099999904632568,4.690000057220459,5.079999923706055,4115800.0,,,,,
2024-06-05,4.929999828338623,5.090000152587891,4.78000020980835,4.829999923706055,3586500.0,,,,,
2024-06-06,5.239999771118164,5.300000190734863,4.940000057220459,5.0,2780900.0,,,,,
2024-06-07,5.010000228881836,5.159999847412109,4.96999979019165,5.019999980926514,2737400.0,,,,,
2024-06-10,5.139999866485596,5.139999866485596,4.920000076293945,5.010000228881836,2509700.0,,,,,
2024-06-11,4.989999771118164,5.130000114440918,4.949999809265137,5.119999885559082,2879000.0,,,,,
2024-06-12,4.940000057220459,5.179999828338623,4.920000076293945,5.150000095367432,2725500.0,,,,,
2024-06-13,4.739999771118164,5.010000228881836,4.730000019073486,4.920000076293945,1629300.0,,,,,
2024-06-14,4.630000114440918,4.809999942779541,4.630000114440918,4.809999942779541,3918200.0,,,,,
2024-06-17,4.579999923706055,4.659999847412109,4.550000190734863,4.599999904632568,2638100.0,,,,,
2024-06-18,4.570000171661377,4.659999847412109,4.510000228881836,4.550000190734863,3086500.0,,,,,
2024-06-20,4.610000133514404,4.730000019073486,4.559999942779541,4.570000171661377,2399000.0,,,,,
2024-06-21,4.53000020980835,4.639999866485596,4.480000019073486,4.639999866485596,6267500.0,,,,,
2024-06-24,4.599999904632568,4.679999828338623,4.559999942779541,4.599999904632568,2368600.0,,,,,
2024-06-25,4.429999828338623,4.610000133514404,4.429999828338623,4.599999904632568,2170000.0,,,,,
2024-06-26,4.570000171661377,4.570000171661377,4.360000133514404,4.420000076293945,3055600.0,,,,,
2024-06-27,4.539999961853027,4.630000114440918,4.53000020980835,4.590000152587891,2415100.0,,,,,
2024-06-28,4.510000228881836,4.639999866485596,4.489999771118164,4.570000171661377,31436200.0,,,,,
2024-07-01,4.480000019073486,4.659999847412109,4.460000038146973,4.550000190734863,2661600.0,,,,,
2024-07-02,4.460000038146973,4.590000152587891,4.349999904632568,4.460000038146973,4669400.0,,,,,
