Date,Close,High,Low,Open,Volume,"('Close', 'UNIT')","('High', 'UNIT')","('Low', 'UNIT')","('Open', 'UNIT')","('Volume', 'UNIT')"
2024-06-03,4.964374542236328,5.138285500824481,4.916943868222633,5.027614684523557,1251197.0,,,,,
2024-06-04,4.77465295791626,4.995994146139092,4.77465295791626,4.964374754402067,1249632.0,,,,,
2024-06-05,4.948564529418945,4.964374451241308,4.727221993196982,4.790463495840874,1237772.0,,,,,
2024-06-06,5.16200065612793,5.185715994385025,4.948564881007287,4.980184273059915,1109968.0,,,,,
2024-06-07,5.15409517288208,5.169906003296603,4.980184207417786,5.075045105357195,1043025.0,,,,,
2024-06-10,5.15409517288208,5.4782031273820655,5.106665858508968,5.138285703983467,1653875.0,,,,,
2024-06-11,5.09876012802124,5.169905683616871,5.035519987144042,5.154094854180007,979755.0,,,,,
2024-06-12,4.964374542236328,5.470297495888634,4.948564620124175,5.280576615188329,1691199.0,,,,,
2024-06-13,4.9169440269470215,5.029195566779594,4.79046373828964,5.011804924198007,2494267.0,,,,,
2024-06-14,4.568106174468994,4.983388900756836,4.493354797363281,4.983388900756836,3802593.0,,,,,
2024-06-17,4.435215950012207,4.568106174468994,4.4019927978515625,4.568106174468994,2191099.0,,,,,
2024-06-18,4.568106174468994,4.584718227386475,4.269103050231934,4.4019927978515625,2445866.0,,,,,
2024-06-20,4.684384822845459,4.70099687576294,4.468439102172852,4.6013288497924805,2349787.0,,,,,
2024-06-21,4.750831127166748,4.775747776031494,4.568106174468994,4.667774200439453,6234071.0,,,,,
2024-06-24,4.4019927978515625,4.883720874786377,4.4019927978515625,4.750831127166748,1804977.0,,,,,
2024-06-25,4.451827049255371,4.468439102172852,4.302326202392578,4.385382175445557,2029101.0,,,,,
2024-06-26,4.5016608238220215,4.534883975982666,4.352159023284912,4.435215950012207,2048847.0,,,,,
2024-06-27,4.534883975982666,4.70099687576294,4.443521976470947,4.5016608238220215,2460073.0,,,,,
2024-06-28,4.850498199462891,4.883720874786377,4.55149507522583,4.651163101196289,3975969.0,,,,,
2024-07-01,4.55149507522583,4.9169440269470215,4.509966850280762,4.8172760009765625,1795345.0,,,,,
2024-07-02,4.584718227386475,4.634551048278809,4.468439102172852,4.568106174468994,955675.0,,,,,
2024-07-03,4.651163101196289,4.775747776031494,4.55149507522583,4.6179399490356445,508570.0,,,,,
2024-07-05,4.6013288497924805,4.676080226898193,4.5182719230651855,4.667774200439453,1163606.0,,,,,
