,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.001,0.107,0.168467,0.21
Normalized EBITDA,-923227000.0,16395000.0,-3324000.0,10266000.0
Net Income From Continuing Operation Net Minority Interest,-923376000.0,12939000.0,385000.0,15903000.0
Reconciled Depreciation,7411000.0,7258000.0,6117000.0,5234000.0
Reconciled Cost Of Revenue,63605000.0,56967000.0,47687000.0,46371000.0
EBITDA,-923227000.0,16395000.0,-3324000.0,10266000.0
EBIT,-930638000.0,9137000.0,-9441000.0,5032000.0
Normalized Income,-923376000.0,12939000.0,385000.0,15903000.0
Net Income From Continuing And Discontinued Operation,-923376000.0,12939000.0,385000.0,15903000.0
Total Expenses,1458787000.0,509607000.0,393655000.0,386940000.0
Total Operating Income As Reported,-930638000.0,9137000.0,-9441000.0,5032000.0
Diluted Average Shares,126620499.0,336399191.0,336399191.0,336399191.0
Basic Average Shares,126620499.0,336399191.0,336399191.0,336399191.0
Diluted EPS,-7.29,-0.1,0.0,0.0
Basic EPS,-7.29,-0.1,0.0,0.0
Diluted NI Availto Com Stockholders,-923376000.0,0.0,0.0,0.0
Net Income Common Stockholders,-923376000.0,0.0,0.0,0.0
Preferred Stock Dividends,,12939000.0,385000.0,15903000.0
Net Income,-923376000.0,12939000.0,385000.0,15903000.0
Net Income Including Noncontrolling Interests,-923376000.0,12939000.0,385000.0,15903000.0
Net Income Continuous Operations,-923376000.0,12939000.0,385000.0,15903000.0
Tax Provision,-1047000.0,1552000.0,78000.0,-362000.0
Pretax Income,-924423000.0,14491000.0,463000.0,15541000.0
Other Income Expense,6215000.0,5354000.0,9904000.0,10509000.0
Other Non Operating Income Expenses,6215000.0,5354000.0,9904000.0,10509000.0
Operating Income,-930638000.0,9137000.0,-9441000.0,5032000.0
Operating Expense,1391667000.0,449189000.0,343151000.0,339493000.0
Other Operating Expenses,301344000.0,187754000.0,104821000.0,104106000.0
Depreciation Amortization Depletion Income Statement,3896000.0,3807000.0,3300000.0,4158000.0
Depreciation And Amortization In Income Statement,3896000.0,3807000.0,3300000.0,4158000.0
Research And Development,621754000.0,77882000.0,75371000.0,74930000.0
Selling General And Administration,464673000.0,179746000.0,159659000.0,156299000.0
Selling And Marketing Expense,185006000.0,132573000.0,118021000.0,117047000.0
General And Administrative Expense,279667000.0,47173000.0,41638000.0,39252000.0
Other Gand A,279667000.0,47173000.0,41638000.0,39252000.0
Gross Profit,461029000.0,458326000.0,333710000.0,344525000.0
Cost Of Revenue,67120000.0,60418000.0,50504000.0,47447000.0
Total Revenue,528149000.0,518744000.0,384214000.0,391972000.0
Operating Revenue,528149000.0,518744000.0,384214000.0,391972000.0
