,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-159180.0,34230.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.0,0.0,
Normalized EBITDA,-13688000.0,-14865000.0,-17065000.0,-20825000.0,-23565000.0,
Total Unusual Items,-758000.0,163000.0,343000.0,1508000.0,353000.0,
Total Unusual Items Excluding Goodwill,-758000.0,163000.0,343000.0,1508000.0,353000.0,
Net Income From Continuing Operation Net Minority Interest,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Reconciled Depreciation,425000.0,430000.0,2090000.0,476000.0,696000.0,
EBITDA,-14446000.0,-14702000.0,-16722000.0,-19317000.0,-23212000.0,
EBIT,-14871000.0,-15132000.0,-18812000.0,-19793000.0,-23908000.0,
Net Interest Income,-97000.0,-58000.0,17000.0,64000.0,215000.0,
Interest Expense,267000.0,316000.0,363000.0,412000.0,447000.0,
Interest Income,228000.0,306000.0,367000.0,371000.0,138000.0,
Normalized Income,-14540180.0,-15579770.0,-19518000.0,-21713000.0,-24708000.0,
Net Income From Continuing And Discontinued Operation,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Total Expenses,14447000.0,15763000.0,19867000.0,24604000.0,26879000.0,
Total Operating Income As Reported,-14283000.0,-15553000.0,-19535000.0,-20835000.0,-24923000.0,
Diluted Average Shares,16100185.0,15300912.0,15129952.0,,14933934.0,14933934.0
Basic Average Shares,16100185.0,15300912.0,15129952.0,,14933934.0,14933934.0
Diluted EPS,-0.94,-1.01,-1.27,,-1.63,-1.97
Basic EPS,-0.94,-1.01,-1.27,,-1.63,-1.97
Diluted NI Availto Com Stockholders,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Net Income Common Stockholders,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Net Income,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Net Income Including Noncontrolling Interests,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Net Income Continuous Operations,-15139000.0,-15451000.0,-19175000.0,-20205000.0,-24355000.0,
Tax Provision,1000.0,3000.0,0.0,0.0,0.0,
Pretax Income,-15138000.0,-15448000.0,-19175000.0,-20205000.0,-24355000.0,
Other Income Expense,-749000.0,219000.0,520000.0,3922000.0,347000.0,
Other Non Operating Income Expenses,9000.0,56000.0,177000.0,2414000.0,-6000.0,
Gain On Sale Of Security,-758000.0,163000.0,343000.0,1508000.0,353000.0,
Net Non Operating Interest Income Expense,-97000.0,-58000.0,17000.0,64000.0,215000.0,
Total Other Finance Cost,58000.0,48000.0,-13000.0,-105000.0,-524000.0,
Interest Expense Non Operating,267000.0,316000.0,363000.0,412000.0,447000.0,
Interest Income Non Operating,228000.0,306000.0,367000.0,371000.0,138000.0,
Operating Income,-14292000.0,-15609000.0,-19712000.0,-24191000.0,-24917000.0,
Operating Expense,14447000.0,15763000.0,19867000.0,24604000.0,26879000.0,
Research And Development,10136000.0,11727000.0,15391000.0,18656000.0,21498000.0,
Selling General And Administration,4311000.0,4036000.0,4476000.0,6168000.0,5381000.0,
General And Administrative Expense,4311000.0,4036000.0,4476000.0,6168000.0,5381000.0,
Other Gand A,4311000.0,4036000.0,4476000.0,-9687000.0,5381000.0,
Total Revenue,155000.0,154000.0,155000.0,413000.0,1962000.0,
Operating Revenue,155000.0,154000.0,155000.0,413000.0,1962000.0,
