,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,461879.131256,399171.0,-213780.0,-45630.0,-292740.0
Tax Rate For Calcs,0.077432,0.141,0.21,0.013,0.21
Normalized EBITDA,-3995000.0,1528000.0,27420000.0,13003000.0,237000.0
Total Unusual Items,5965000.0,2831000.0,-1018000.0,-3510000.0,-1394000.0
Total Unusual Items Excluding Goodwill,5965000.0,2831000.0,-1018000.0,-3510000.0,-1394000.0
Net Income From Continuing Operation Net Minority Interest,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Reconciled Depreciation,3098000.0,3126000.0,3287000.0,3322000.0,3306000.0
Reconciled Cost Of Revenue,38515000.0,40534000.0,92088000.0,60232000.0,53402000.0
EBITDA,1970000.0,4359000.0,26402000.0,9493000.0,-1157000.0
EBIT,-1128000.0,1233000.0,23115000.0,6171000.0,-4463000.0
Net Interest Income,-2049000.0,-2006000.0,-2986000.0,-2712000.0,-2220000.0
Interest Expense,2049000.0,2006000.0,2986000.0,2712000.0,2220000.0
Normalized Income,-8434120.868744,-3095829.0,20943220.0,6877370.0,-6422740.0
Net Income From Continuing And Discontinued Operation,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Total Expenses,63071000.0,65196000.0,121629000.0,84430000.0,79195000.0
Total Operating Income As Reported,-329000.0,1536000.0,23430000.0,6423000.0,-4111000.0
Diluted Average Shares,20667000.0,20506000.0,21136000.0,21501000.0,21252000.0
Basic Average Shares,20667000.0,20506000.0,19937000.0,20553000.0,21252000.0
Diluted EPS,-0.14,-0.03,0.95,0.16,-0.35
Basic EPS,-0.14,-0.03,1.01,0.17,-0.35
Diluted NI Availto Com Stockholders,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Net Income Common Stockholders,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Net Income,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Net Income Including Noncontrolling Interests,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Net Income Continuous Operations,-2931000.0,-664000.0,20139000.0,3413000.0,-7524000.0
Tax Provision,-246000.0,-109000.0,-10000.0,46000.0,841000.0
Pretax Income,-3177000.0,-773000.0,20129000.0,3459000.0,-6683000.0
Other Income Expense,5166000.0,2528000.0,-1333000.0,-3762000.0,-1746000.0
Other Non Operating Income Expenses,-799000.0,-303000.0,-315000.0,-252000.0,-352000.0
Special Income Charges,5965000.0,2831000.0,-1018000.0,-3510000.0,-1394000.0
Other Special Charges,-5965000.0,-3439000.0,,,
Restructuring And Mergern Acquisition,0.0,608000.0,1018000.0,3510000.0,1394000.0
Net Non Operating Interest Income Expense,-2049000.0,-2006000.0,-2986000.0,-2712000.0,-2220000.0
Total Other Finance Cost,,,,,2220000.0
Interest Expense Non Operating,2049000.0,2006000.0,2986000.0,2712000.0,2220000.0
Operating Income,-6294000.0,-1295000.0,24448000.0,9933000.0,-2717000.0
Operating Expense,24556000.0,24662000.0,29541000.0,24198000.0,25793000.0
Research And Development,4471000.0,3993000.0,4502000.0,4311000.0,4589000.0
Selling General And Administration,20085000.0,20669000.0,25039000.0,19887000.0,21204000.0
Selling And Marketing Expense,12731000.0,12453000.0,16140000.0,13535000.0,13741000.0
General And Administrative Expense,7354000.0,8216000.0,8899000.0,6352000.0,7463000.0
Other Gand A,7354000.0,8216000.0,8899000.0,6352000.0,7463000.0
Gross Profit,18262000.0,23367000.0,53989000.0,34131000.0,23076000.0
Cost Of Revenue,38515000.0,40534000.0,92088000.0,60232000.0,53402000.0
Total Revenue,56777000.0,63901000.0,146077000.0,94363000.0,76478000.0
Operating Revenue,56777000.0,63901000.0,146077000.0,94363000.0,76478000.0
